"","F4_GI_1","F4_GI_2","F4_GI_3","F4_GI_4","F4_HG_1","F4_HG_2","F4_HG_3","F4_STOM","F5_GI_1","F5_GI_2","F5_GI_3","F5_GI_4","F5_HG_1","F5_HG_2","F5_HG_3","F5_STOM","F6_GI_1","F6_GI_4","F6_HG_1","F6_HG_2","F6_HG_3","F7_GI_2","F7_GI_3","F7_GI_4","F7_HG_1","F7_HG_2","F7_HG_3","F7_STOM","F8_GI_1","F8_GI_2","F8_GI_4","F8_HG_1","F8_HG_2","F8_HG_3","F8_STOM"
"97",0.52974171430287,0.376485442084636,0.92766119379399,1.40499362977466,0.787100938710104,1.02504428974986,0.838650882876857,-0.411280787585925,0.560231131693172,1.08905726228686,1.15964173932642,1.64783706511001,1.48867353349347,1.35909488961595,1.79461339341841,-0.394333649838907,0.403586686583232,1.490293543659,1.34442713971947,1.50341333248692,1.32299450852817,0.421250172168161,-0.237857018295681,0.125044162804245,0.761669728023868,0.567670731157913,0.801170260053998,-0.374333555724361,1.20872772912671,0.366578629834975,2.18614567004471,1.53660771304879,0.659277535257243,1.7153284429247,-0.420483236460867
"99",-0.821755848752037,-0.733481900021906,-0.790627753503244,-0.731160456822252,0.928190375924258,-0.707304437797411,1.04999763787613,-0.411280787585925,-0.694314963969312,-0.667340797078738,-0.713863977701001,-0.649581605845358,0.653179340285698,0.781471226088325,0.708640086191048,-0.394333649838907,-0.659453391562235,0.399290325367864,1.04324107475561,1.61109167910575,2.03486947089173,-0.758640117417196,-0.807651312530737,-0.80415941247154,-0.564701638263581,0.0898581186551277,0.192347705912154,-0.374333555724361,-0.787887890235552,-0.757669631024462,-0.720914073669311,-0.562599667864079,0.309566600482968,0.68084934431423,-0.420483236460867
"102",1.66695939449361,0.375323104468184,1.2959578202819,1.4684267038968,0.383488492987249,0.497721603322259,-0.629984213818269,-0.411280787585925,2.05398803642668,1.16455195394668,1.80809587709893,1.28666117519417,-0.603579124716623,-0.624849977156404,1.11179743826526,-0.394333649838907,-0.659453391562235,-0.662737209786282,-0.530203752922843,-0.542469809986012,-0.500355084670718,1.3576063893569,1.89080451559285,1.76098439501192,1.64374262112716,-0.646064794340261,1.25835703520461,-0.374333555724361,2.11040479125126,1.53406034626846,1.32526504296512,-0.562599667864079,-0.509478176054185,-0.491631967722431,-0.420483236460867
"104",-0.821755848752037,-0.733481900021906,-0.790627753503244,-0.731160456822252,1.21154001154855,0.369964371221571,1.08642855647513,-0.411280787585925,-0.694314963969312,-0.667340797078738,-0.713863977701001,-0.649581605845358,1.35892347756255,1.30444529512397,1.26517540403903,-0.394333649838907,-0.659453391562235,1.35466105991056,2.2901172214749,2.15764235747943,2.45005368634802,-0.758640117417196,-0.807651312530737,-0.80415941247154,-0.564701638263581,0.584385227055584,0.889216437479874,-0.374333555724361,-0.787887890235552,-0.757669631024462,-0.0341614003156266,1.07663301645344,1.17107529828381,1.25713476716019,-0.420483236460867
"106",3.66611355231528,1.70169736409272,2.35616315016336,2.61342787692183,0.947479073469337,0.851086538538879,0.595289970297877,1.19765809939058,4.27911076192887,1.87176283973481,1.91236659003783,3.28896139880504,0.749767772298412,0.731895401079066,1.00048233799314,0.842578184169143,2.35833545425309,0.90436833821204,0.630087052420002,0.494018410633727,0.783546975292704,3.62894172139205,3.12041239022143,2.65363383605529,2.62418205025763,2.19064872177234,1.97863417809691,-0.374333555724361,4.20497538893631,3.28075337317764,1.55973599834268,0.854278523728408,0.609307639819927,0.571150191606784,-0.420483236460867
"107",-0.106121278932324,0.458865424472656,1.51650356914003,1.94648557150993,0.760228956852403,0.60255142407178,0.533308333776255,-0.411280787585925,0.148007272740281,1.01456591636787,0.188002259247006,0.417852794368212,1.309639052015,1.63836588625281,1.96613572451536,-0.394333649838907,1.26794444753569,3.25721532780693,3.27187734235013,3.32536935577473,3.01604437402277,-0.0786977074347753,-0.343651298241471,-0.0528007928637711,0.624712400799323,0.402091599670969,0.75425783844937,-0.374333555724361,0.591478996893696,0.507750667570649,2.82154158998074,2.73862608055825,0.911843129409217,1.42301158127872,-0.420483236460867
"111",-0.821755848752037,-0.733481900021906,-0.790627753503244,-0.731160456822252,0.675242809607788,0.413934741100357,0.703833112427268,-0.411280787585925,-0.694314963969312,-0.667340797078738,-0.713863977701001,-0.649581605845358,-0.603579124716623,-0.624849977156404,-0.504126505672453,-0.394333649838907,-0.659453391562235,-0.662737209786282,-0.530203752922843,-0.542469809986012,-0.500355084670718,-0.758640117417196,-0.807651312530737,-0.80415941247154,0.346388105154752,0.920941110512973,0.909150203884491,-0.374333555724361,-0.787887890235552,-0.757669631024462,0.252610876288075,0.89082974905932,0.988990127539887,1.06928382176944,-0.420483236460867
"112",-0.821755848752037,-0.733481900021906,-0.790627753503244,-0.371537617875035,1.30155921738599,0.87311160802744,1.53533949081465,-0.411280787585925,-0.694314963969312,-0.667340797078738,-0.713863977701001,-0.649581605845358,0.607245119499952,0.436345517758748,-0.504126505672453,-0.394333649838907,-0.659453391562235,-0.662737209786282,-0.530203752922843,-0.542469809986012,-0.500355084670718,-0.758640117417196,-0.807651312530737,-0.80415941247154,-0.564701638263581,-0.646064794340261,-0.700768165864812,-0.374333555724361,-0.787887890235552,-0.757669631024462,0.453689928887517,1.53818747522549,0.717499929214412,1.74573865641745,-0.420483236460867
"113",0.0817700576045233,0.461447776444493,0.319704026925658,0.954928249301006,1.30556199050236,1.43751949768074,1.64570798235268,-0.411280787585925,-0.243093579325065,0.341943093657215,0.677397272389404,0.588238828694803,0.951216362263061,1.31685703991757,1.23101679813824,-0.394333649838907,0.110161336861684,0.347737012029736,0.716256751421104,0.972001081140144,0.992616477623826,-0.149202628132535,-0.154284499097245,-0.0661459557901236,-0.564701638263581,-0.646064794340261,0.209955796254279,-0.374333555724361,-0.264355980922525,-0.0795729048685428,0.473358319427209,0.731684542588002,0.873178566507511,0.775251934078311,-0.420483236460867
"118",2.55213295669025,1.11379524077839,1.61336225718654,1.80999723538964,0.524067667839968,0.528113117265629,-0.629984213818269,0.821223590579611,3.0761532065688,1.29827628851506,1.33056379164677,2.37750972790603,-0.603579124716623,-0.624849977156404,-0.504126505672453,0.569093355482751,1.68637202700169,0.524521497802993,-0.530203752922843,0.181033027747052,0.47025049274843,2.62634326363566,2.23972071307574,1.92037314506652,1.87245826451726,1.50498679836647,1.31769916521688,-0.374333555724361,3.13226419145486,2.39007416121715,1.06511739825656,0.490380439356061,0.32945441228588,-0.491631967722431,-0.420483236460867
"124",-0.821755848752037,-0.733481900021906,-0.790627753503244,-0.286238115323657,-0.68307114130068,-0.707304437797411,-0.629984213818269,1.55768373684988,-0.153643341227947,-0.667340797078738,-0.0997699187171873,-0.649581605845358,-0.603579124716623,-0.624849977156404,-0.504126505672453,1.26706010412104,-0.659453391562235,0.283135953452169,-0.530203752922843,-0.542469809986012,-0.500355084670718,-0.758640117417196,-0.473288587942984,-0.271560159001621,0.416913543796191,0.0220960301297939,0.820105735765172,1.64078063914741,-0.331238381531902,-0.757669631024462,-0.078104202895066,-0.562599667864079,-0.509478176054185,-0.491631967722431,2.96431581610344
"126",-0.821755848752037,-0.417867568156663,0.286203997755827,0.74498094675168,1.61764732547008,1.32226148726714,1.54158386693887,-0.411280787585925,-0.694314963969312,-0.0818933437715771,0.605588674283762,1.08794114330648,0.957319980386799,0.92256863038827,0.842516964031295,-0.394333649838907,-0.659453391562235,0.140010316195073,0.784973027816523,1.03348665900874,0.528816073317736,-0.758640117417196,0.364812550309661,0.12752568006554,-0.564701638263581,0.0777432769198454,-0.0549849676426227,-0.374333555724361,-0.787887890235552,-0.757669631024462,0.39042563119048,0.645452450066313,0.859386663475847,0.633592502848013,-0.420483236460867
"141",-0.552730738499346,-0.733481900021906,-0.231933673652412,-0.00922850775367881,1.05808834418066,1.13356756086436,1.14331256771661,-0.411280787585925,-0.694314963969312,-0.138657335207673,0.0437262540573776,0.611018139108584,0.814196781354225,0.646385673611148,-0.504126505672453,-0.394333649838907,-0.659453391562235,0.556400858709114,0.755672520040371,0.687500909397818,0.203974172683283,-0.478108135072921,-0.294461450868163,0.137108033508626,-0.564701638263581,0.0879935205449424,0.0667481463880028,0.839573063121185,-0.787887890235552,-0.757669631024462,0.40757987786283,0.471651771239693,0.669114039625182,0.797247078581,-0.420483236460867
"150",-0.554951942116114,-0.733481900021906,-0.284565713307217,-0.0490110488032844,0.980830875895934,0.802038582944787,0.96250906692468,-0.411280787585925,-0.694314963969312,-0.184744246449574,-0.713863977701001,0.53690147914983,0.64978588558882,0.591848278093728,-0.504126505672453,-0.394333649838907,-0.659453391562235,0.496467184587899,0.561074072603667,0.547987526354757,-0.500355084670718,-0.461773492708726,-0.307558819292673,-0.80415941247154,-0.564701638263581,0.102544090126201,0.0430736451922078,-0.374333555724361,-0.787887890235552,-0.757669631024462,0.424498075477037,0.500804820793915,0.58040890920137,-0.491631967722431,-0.420483236460867
"151",-0.546140264831501,-0.733481900021906,-0.278096285997986,-0.0448497053449796,1.13243631730201,0.93315631020278,1.04531606637173,-0.411280787585925,-0.496068818715556,-0.149081132312666,-0.0224704084004582,0.584908151791643,0.706164132311192,0.527747355585614,0.677280674439652,-0.394333649838907,-0.659453391562235,0.483880873156292,0.640116203706581,0.581533002030669,0.221145978182749,-0.463344925361119,-0.260954959883158,0.139070683009656,-0.564701638263581,0.0996468702185953,0.0514463435989388,-0.374333555724361,-0.787887890235552,-0.757669631024462,0.509993496101652,0.551904130512887,0.634986486180386,0.786725051643739,-0.420483236460867
"153",0.30528346241698,-0.38328366033933,-0.309942843217399,-0.155763158643325,-0.68307114130068,-0.707304437797411,-0.629984213818269,0.39232655085211,0.616130774127631,1.10503703110637,1.32542024694008,0.642148408784209,-0.603579124716623,-0.624849977156404,-0.504126505672453,0.680676568808449,-0.0859976995887367,-0.662737209786282,-0.530203752922843,-0.542469809986012,-0.500355084670718,0.353811642635668,-0.264413926486551,-0.268874558955119,0.394438821417441,0.28043955624032,-0.106768441830845,1.76887731771983,0.42574393393647,-0.0161893711321194,0.536216458393128,-0.562599667864079,-0.509478176054185,-0.491631967722431,-0.420483236460867
"154",-0.821755848752037,-0.733481900021906,-0.790627753503244,-0.731160456822252,-0.68307114130068,0.27296029159207,0.784327138526379,-0.411280787585925,-0.694314963969312,-0.667340797078738,-0.713863977701001,0.162601086020801,0.491145043960398,0.552932648839778,-0.504126505672453,-0.394333649838907,-0.659453391562235,0.844576284669544,1.27245808140193,0.696252561191249,-0.500355084670718,-0.758640117417196,-0.317083823399701,0.198368328586096,0.0892930199195654,0.578747002054086,0.602258793023653,-0.374333555724361,-0.787887890235552,-0.757669631024462,-0.720914073669311,1.11308727364655,1.26215164789189,0.957527883923609,-0.420483236460867
"156",1.63840025556756,2.48303275645141,1.21181774299591,0.772878953554093,0.323735753351177,0.416084064593467,0.378461772614609,-0.411280787585925,0.406027779156113,1.20153182299458,0.556968163011118,0.465571801555352,0.770197449545276,0.570627637496079,0.751123914488773,-0.394333649838907,0.938598091778616,0.201014784644902,-0.530203752922843,-0.542469809986012,-0.500355084670718,-0.199154100983902,-0.463735211270997,-0.80415941247154,-0.564701638263581,-0.646064794340261,-0.700768165864812,-0.374333555724361,0.873173194680103,2.16520254654539,1.02099657103237,0.604461936334381,0.764159967113833,-0.491631967722431,-0.420483236460867
"162",1.2572207386629,2.7417334272614,2.43362647530712,2.14238927445196,0.527624260631548,0.723997028123341,-0.629984213818269,0.753031306266349,-0.011528723835736,1.22669217469718,1.90496124911362,1.25002650217239,-0.603579124716623,0.6797132453516,-0.504126505672453,-0.394333649838907,3.20105332666431,2.1293049877953,1.01037173779711,0.727652810289942,1.1862555026839,1.80729971694522,2.45727276231491,2.80283877809326,3.85715461878655,3.43874127827842,2.84295251796234,-0.374333555724361,1.05262758562776,0.70265451875703,1.16850304839283,0.979500013008169,-0.509478176054185,0.385354874818488,-0.420483236460867
"167",0.433749128585183,0.000651141580052471,0.270750733953054,0.489371791960272,-0.68307114130068,-0.707304437797411,-0.629984213818269,-0.411280787585925,0.544169939011837,0.264195519931448,0.38598543403855,0.128522399651476,-0.603579124716623,-0.624849977156404,-0.504126505672453,0.19056840513435,0.296046362320673,0.0729134314605361,-0.530203752922843,-0.542469809986012,-0.500355084670718,0.45252986691305,0.394679190607661,0.498969346061545,0.642781626888005,0.540772617015771,0.432717868706106,0.998913681880168,0.412747126481108,0.373611964501962,0.286117804493746,0.116186931116953,-0.509478176054185,-0.491631967722431,-0.420483236460867
"169",1.01964174221346,1.70336029902601,0.678400947073292,0.402639768922629,-0.68307114130068,-0.707304437797411,-0.629984213818269,-0.411280787585925,-0.694314963969312,0.650961320039764,0.17179559650772,-0.649581605845358,-0.603579124716623,-0.624849977156404,-0.504126505672453,-0.394333649838907,0.492078844662912,-0.662737209786282,-0.530203752922843,-0.542469809986012,-0.500355084670718,-0.758640117417196,-0.807651312530737,-0.80415941247154,-0.564701638263581,-0.646064794340261,-0.700768165864812,-0.374333555724361,0.460259250290443,1.38333697968773,0.589245640256469,0.255618965494441,0.394355260742515,-0.491631967722431,-0.420483236460867
"171",2.87191704513639,5.10007792843765,3.75874579935218,3.15452921745176,0.801442195861189,1.61649358904533,0.555239463948016,0.542524102321541,1.03934987859353,4.61723609506537,3.09178439539053,2.7148051354854,-0.603579124716623,1.20458906378192,1.29469559152322,-0.394333649838907,2.3822086228791,2.8589858868526,0.737244721393705,-0.542469809986012,-0.500355084670718,2.95322705410055,3.51509771256952,1.85842746639442,-0.564701638263581,-0.646064794340261,-0.700768165864812,-0.374333555724361,1.544592902524,3.47730532509572,0.36952615372595,0.454953990985693,-0.509478176054185,-0.491631967722431,3.63823908587898
"172",-0.821755848752037,-0.733481900021906,-0.0992313310573988,0.173859934046105,0.635227542245849,0.596428872208547,0.752831476969965,-0.411280787585925,-0.694314963969312,-0.667340797078738,0.163407096715038,0.438797627844041,0.356325164019894,0.282786301296935,-0.504126505672453,-0.394333649838907,-0.659453391562235,-0.662737209786282,0.337813510367875,0.45934675293654,-0.500355084670718,-0.758640117417196,-0.17477649094684,-0.263218112948656,-0.564701638263581,-0.646064794340261,-0.700768165864812,-0.374333555724361,-0.787887890235552,-0.757669631024462,-0.137457815617395,-0.562599667864079,0.240580337589112,0.132500663694459,-0.420483236460867
"185",0.740150692112098,-0.00371162178213448,0.512531155634692,-0.161972464368777,-0.68307114130068,-0.0488107067161512,-0.629984213818269,-0.411280787585925,-0.325394415829778,-0.667340797078738,1.01398811858823,0.468394024894791,0.362231829641738,0.216416728108642,0.99030844911358,-0.394333649838907,0.463800962204062,0.412509577017062,0.0989706591823443,-0.542469809986012,-0.500355084670718,0.534708198592319,0.743343202894639,0.659720342169016,0.986185660185066,0.756754491140099,0.753539905758121,-0.374333555724361,0.798263689961439,0.417466687561835,0.338078486279908,-0.562599667864079,-0.509478176054185,-0.491631967722431,-0.420483236460867
"191",-0.821755848752037,-0.733481900021906,-0.276357692609057,0.0511890179086796,0.768891413431908,0.514163452746627,0.704470662160366,-0.411280787585925,-0.694314963969312,-0.667340797078738,0.0804053786212984,0.468360923649072,0.661756826521202,0.64285637756939,-0.504126505672453,-0.394333649838907,-0.659453391562235,0.244503788861712,1.25348536508157,1.05175700231315,0.505015480598512,-0.758640117417196,-0.303805311096553,-0.426242803961864,-0.564701638263581,-0.646064794340261,-0.0926541376808846,-0.374333555724361,-0.787887890235552,-0.757669631024462,-0.00807588396004313,0.547633445848972,0.686321422623566,0.553891519542839,-0.420483236460867
"200",-0.821755848752037,-0.733481900021906,-0.790627753503244,-0.731160456822252,2.4788022596967,2.21914548795141,2.69920009436515,-0.411280787585925,-0.694314963969312,-0.667340797078738,-0.713863977701001,-0.649581605845358,-0.603579124716623,-0.624849977156404,-0.504126505672453,-0.394333649838907,-0.659453391562235,4.24598612667802,4.15134175003384,3.77769945157455,3.66578317655281,-0.758640117417196,-0.807651312530737,-0.80415941247154,-0.564701638263581,2.25038204500776,-0.700768165864812,-0.374333555724361,-0.787887890235552,-0.757669631024462,2.47000748053324,4.74874309740584,6.86706550609542,6.42354535416606,-0.420483236460867
