,F4_GI_1,F4_GI_2,F4_GI_3,F4_GI_4,F4_HG_1,F4_HG_2,F4_HG_3,F4_STOM,F5_GI_1,F5_GI_2,F5_GI_3,F5_GI_4,F5_HG_1,F5_HG_2,F5_HG_3,F5_STOM,F6_GI_1,F6_GI_4,F6_HG_1,F6_HG_2,F6_HG_3,F7_GI_2,F7_GI_3,F7_GI_4,F7_HG_1,F7_HG_2,F7_HG_3,F7_STOM,F8_GI_1,F8_GI_2,F8_GI_4,F8_HG_1,F8_HG_2,F8_HG_3,F8_STOM,cluster.index,CF_componentindex,CF_NrNodes,CF_kingdom,CF_kingdom_score,CF_superclass,CF_superclass_score,CF_class,CF_class_score,CF_subclass,CF_subclass_score,CF_Dparent,CF_Dparent_score,CF_MFramework,CF_MFramework_score
245,-0.443300536,-0.213308387,-0.790627754,-0.731160457,2.423551773,1.474425124,2.451284832,-0.411280788,-0.694314964,-0.667340797,-0.713863978,-0.649581606,0.825437454,0.908828089,0.997495619,-0.39433365,-0.659453392,0.331003042,-0.530203753,-0.54246981,-0.500355085,0.214147128,0.043599136,0.495694507,0.891727239,1.781817104,1.853151525,-0.374333556,-0.505015989,-0.757669631,-0.27464449,-0.562599668,0.255196385,0.110788506,-0.420483236,245,41,3,Organic compounds,1,Lipids and lipid-like molecules,0.69047619,Steroids and steroid derivatives,0.416666667,Steroidal glycosides,0.259259259,Steroidal glycosides,0.259259259,Aliphatic heteropolycyclic compounds,0.464285714
246,0.172319866,1.129790045,1.30861121,1.718758473,0.96896134,1.653991179,0.406890656,-0.411280788,0.170172054,2.524752557,2.341869336,2.114342038,0.90758047,0.307273106,-0.504126506,-0.39433365,0.491440311,0.754440993,-0.530203753,-0.54246981,-0.500355085,1.00558996,1.473794736,0.922225353,-0.564701638,-0.646064794,-0.700768166,-0.374333556,0.030368303,0.830771031,-0.720914074,-0.562599668,-0.509478176,-0.491631968,-0.420483236,246,3,74,Organic compounds,1,Lipids and lipid-like molecules,0.826045201,Prenol lipids,0.390973928,Diterpenoids,0.1878003,Diterpenoids,0.119417632,Aliphatic homopolycyclic compounds,0.268458231
249,0.182850036,0.950779095,1.148379125,0.97866862,-0.683071141,-0.707304438,-0.629984214,-0.411280788,-0.491394435,0.51787818,0.936114814,0.539999046,-0.603579125,-0.624849977,0.57612833,-0.39433365,1.733544176,1.278332952,-0.530203753,-0.54246981,0.114029701,0.539734667,0.928356266,1.295108459,2.012820645,-0.646064794,1.737861037,-0.374333556,-0.152541285,0.080522097,0.410525516,-0.562599668,-0.509478176,-0.491631968,-0.420483236,249,14,17,Organic compounds,0.941176471,Lipids and lipid-like molecules,0.656862745,Fatty Acyls,0.504201681,Fatty acids and conjugates,0.179738562,Long-chain fatty acids,0.172385621,Aliphatic acyclic compounds,0.464402428
261,-0.821755849,0.51938269,0.572149442,-0.731160457,-0.683071141,-0.707304438,-0.629984214,-0.411280788,-0.288454286,0.803750877,0.556881857,-0.649581606,-0.603579125,-0.624849977,-0.504126506,-0.39433365,-0.659453392,-0.006510324,-0.530203753,-0.54246981,-0.500355085,-0.758640117,-0.208721134,-0.804159412,-0.564701638,-0.646064794,-0.700768166,-0.374333556,-0.162566669,0.842511586,-0.720914074,-0.562599668,-0.509478176,-0.491631968,-0.420483236,261,3,74,Organic compounds,1,Lipids and lipid-like molecules,0.826045201,Prenol lipids,0.390973928,Diterpenoids,0.1878003,Diterpenoids,0.119417632,Aliphatic homopolycyclic compounds,0.268458231
267,-0.821755849,-0.7334819,-0.790627754,-0.731160457,-0.683071141,-0.707304438,-0.629984214,1.663242625,-0.040425077,-0.667340797,-0.160161276,-0.649581606,-0.603579125,-0.624849977,-0.504126506,1.976438855,-0.659453392,0.115884173,-0.530203753,-0.54246981,-0.500355085,-0.528350421,-0.183356026,0.290278816,-0.564701638,0.727517472,0.600294418,1.555698844,-0.393870949,-0.757669631,-0.720914074,-0.562599668,-0.509478176,-0.491631968,1.751178409,267,3,74,Organic compounds,1,Lipids and lipid-like molecules,0.826045201,Prenol lipids,0.390973928,Diterpenoids,0.1878003,Diterpenoids,0.119417632,Aliphatic homopolycyclic compounds,0.268458231
296,-0.281281898,-0.013386792,-0.416671078,-0.175884757,0.360008851,-0.707304438,0.46620659,2.160256541,0.169770134,0.086656913,-0.713863978,0.248447223,1.442384228,1.26439949,1.258564882,2.59927319,-0.659453392,-0.66273721,-0.530203753,-0.54246981,-0.500355085,-0.758640117,-0.807651313,-0.804159412,-0.564701638,-0.646064794,-0.700768166,-0.374333556,-0.78788789,-0.757669631,-0.720914074,-0.562599668,-0.509478176,-0.491631968,1.825687509,296,S137,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
335,-0.821755849,-0.251520433,-0.790627754,-0.731160457,-0.683071141,-0.707304438,-0.629984214,-0.411280788,-0.694314964,-0.667340797,-0.713863978,-0.649581606,-0.603579125,-0.624849977,-0.504126506,-0.39433365,-0.003856537,-0.66273721,-0.530203753,-0.54246981,-0.500355085,-0.216589074,-0.807651313,-0.804159412,-0.564701638,-0.646064794,-0.700768166,-0.374333556,-0.78788789,-0.08854161,-0.720914074,-0.562599668,-0.509478176,-0.491631968,-0.420483236,335,52,20,Organic compounds,1,Organic acids and derivatives,0.501765873,Carboxylic acids and derivatives,0.461488095,"Amino acids, peptides, and analogues",0.461488095,Dipeptides,0.269186508,Aromatic heteropolycyclic compounds,0.33827381
344,-0.821755849,-0.7334819,-0.445696905,-0.253161293,-0.683071141,-0.707304438,-0.629984214,0.195130148,-0.478016536,-0.359116533,-0.199914302,-0.649581606,-0.603579125,-0.624849977,-0.504126506,0.304855514,-0.659453392,-0.66273721,-0.530203753,-0.54246981,-0.500355085,-0.55129934,-0.469657481,-0.402176169,-0.154161331,-0.280363224,0.584216866,2.075027859,-0.295166905,-0.371595254,-0.140329866,-0.562599668,-0.509478176,-0.491631968,1.991483244,344,S155,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
346,0.41908476,1.855708327,0.713108575,0.489712707,-0.683071141,-0.707304438,-0.629984214,-0.411280788,-0.420659422,0.382202106,0.455480157,-0.649581606,-0.603579125,-0.624849977,-0.504126506,-0.39433365,0.940188541,-0.66273721,-0.530203753,-0.54246981,-0.500355085,0.163226458,0.598224617,0.619517337,0.977421567,0.86193525,0.451919006,-0.374333556,0.127328944,-0.201064443,-0.720914074,-0.562599668,-0.509478176,-0.491631968,-0.420483236,346,73,30,Organic compounds,1,Lipids and lipid-like molecules,0.442142857,Prenol lipids,0.283597884,Triterpenoids,0.213835979,Triterpenoids,0.213835979,Aromatic heteropolycyclic compounds,0.37297619
349,-0.821755849,-0.7334819,-0.790627754,-0.731160457,-0.683071141,-0.707304438,-0.629984214,1.124987293,-0.091623003,-0.667340797,-0.713863978,-0.649581606,-0.603579125,-0.624849977,-0.504126506,1.4381498,-0.659453392,0.14754496,-0.530203753,-0.54246981,-0.500355085,-0.758640117,-0.134257753,0.047508228,0.221381325,0.224019407,0.812291685,1.532935195,-0.406875466,-0.757669631,-0.720914074,-0.562599668,-0.509478176,-0.491631968,2.066815318,349,126,4,Organic compounds,1,Organoheterocyclic compounds,0.431547619,Carboxylic acids and derivatives,0.22172619,"Amino acids, peptides, and analogues",0.22172619,Benzylisoquinolines,0.142857143,Aromatic heteromonocyclic compounds,0.45734127
