cluster index,CF_componentindex,CF_NrNodes,CF_kingdom,CF_kingdom_score,CF_superclass,CF_superclass_score,CF_class,CF_class_score,CF_subclass,CF_subclass_score,CF_Dparent,CF_Dparent_score,CF_MFramework,CF_MFramework_score
174,S77,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
175,1,3,Organic compounds,1,Phenylpropanoids and polyketides,0.351851852,Benzene and substituted derivatives,0.237037037,,0.185185185,Retrochalcones,0.166666667,Aromatic homomonocyclic compounds,0.648148148
354,1,3,Organic compounds,1,Phenylpropanoids and polyketides,0.351851852,Benzene and substituted derivatives,0.237037037,,0.185185185,Retrochalcones,0.166666667,Aromatic homomonocyclic compounds,0.648148148
422,1,3,Organic compounds,1,Phenylpropanoids and polyketides,0.351851852,Benzene and substituted derivatives,0.237037037,,0.185185185,Retrochalcones,0.166666667,Aromatic homomonocyclic compounds,0.648148148
180,157,3,Organic compounds,1,Benzenoids,0.285714286,Benzene and substituted derivatives,0.142857143,,0.333333333,Phenylmethylamines,0.095238095,Aromatic heteropolycyclic compounds,0.666666667
266,157,3,Organic compounds,1,Benzenoids,0.285714286,Benzene and substituted derivatives,0.142857143,,0.333333333,Phenylmethylamines,0.095238095,Aromatic heteropolycyclic compounds,0.666666667
273,157,3,Organic compounds,1,Benzenoids,0.285714286,Benzene and substituted derivatives,0.142857143,,0.333333333,Phenylmethylamines,0.095238095,Aromatic heteropolycyclic compounds,0.666666667
182,S78,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
184,S79,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
185,S80,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
189,S81,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
190,S82,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
192,S83,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
193,31,2,Organic compounds,1,Lipids and lipid-like molecules,0.69047619,Glycerolipids,0.464285714,Diradylglycerols,0.464285714,"1,3-diacylglycerols",0.238095238,Aliphatic acyclic compounds,0.607142857
957,31,2,Organic compounds,1,Lipids and lipid-like molecules,0.69047619,Glycerolipids,0.464285714,Diradylglycerols,0.464285714,"1,3-diacylglycerols",0.238095238,Aliphatic acyclic compounds,0.607142857
195,S84,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
196,S85,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
201,S86,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
202,S87,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
203,S88,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
204,S89,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
205,S90,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
207,226,5,Organic compounds,1,Lipids and lipid-like molecules,0.394444444,Steroids and steroid derivatives,0.205555556,,0.125,Cardenolide glycosides and derivatives,0.091666667,Aromatic heteropolycyclic compounds,0.530555556
208,226,5,Organic compounds,1,Lipids and lipid-like molecules,0.394444444,Steroids and steroid derivatives,0.205555556,,0.125,Cardenolide glycosides and derivatives,0.091666667,Aromatic heteropolycyclic compounds,0.530555556
