cluster index,CF_componentindex,CF_NrNodes,CF_kingdom,CF_kingdom_score,CF_superclass,CF_superclass_score,CF_class,CF_class_score,CF_subclass,CF_subclass_score,CF_Dparent,CF_Dparent_score,CF_MFramework,CF_MFramework_score
1,S1,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
2,S2,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
3,S3,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
4,S4,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
5,S5,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
6,S6,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
7,S7,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
8,S8,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
9,S9,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
10,57,10,Organic compounds,1,Organoheterocyclic compounds,0.374801587,Carboxylic acids and derivatives,0.247222222,"Amino acids, peptides, and analogues",0.247222222,Isoleucine and derivatives,0.077777778,Aromatic heteropolycyclic compounds,0.424007937
642,57,10,Organic compounds,1,Organoheterocyclic compounds,0.374801587,Carboxylic acids and derivatives,0.247222222,"Amino acids, peptides, and analogues",0.247222222,Isoleucine and derivatives,0.077777778,Aromatic heteropolycyclic compounds,0.424007937
792,57,10,Organic compounds,1,Organoheterocyclic compounds,0.374801587,Carboxylic acids and derivatives,0.247222222,"Amino acids, peptides, and analogues",0.247222222,Isoleucine and derivatives,0.077777778,Aromatic heteropolycyclic compounds,0.424007937
1000,57,10,Organic compounds,1,Organoheterocyclic compounds,0.374801587,Carboxylic acids and derivatives,0.247222222,"Amino acids, peptides, and analogues",0.247222222,Isoleucine and derivatives,0.077777778,Aromatic heteropolycyclic compounds,0.424007937
1032,57,10,Organic compounds,1,Organoheterocyclic compounds,0.374801587,Carboxylic acids and derivatives,0.247222222,"Amino acids, peptides, and analogues",0.247222222,Isoleucine and derivatives,0.077777778,Aromatic heteropolycyclic compounds,0.424007937
1294,57,10,Organic compounds,1,Organoheterocyclic compounds,0.374801587,Carboxylic acids and derivatives,0.247222222,"Amino acids, peptides, and analogues",0.247222222,Isoleucine and derivatives,0.077777778,Aromatic heteropolycyclic compounds,0.424007937
1400,57,10,Organic compounds,1,Organoheterocyclic compounds,0.374801587,Carboxylic acids and derivatives,0.247222222,"Amino acids, peptides, and analogues",0.247222222,Isoleucine and derivatives,0.077777778,Aromatic heteropolycyclic compounds,0.424007937
1608,57,10,Organic compounds,1,Organoheterocyclic compounds,0.374801587,Carboxylic acids and derivatives,0.247222222,"Amino acids, peptides, and analogues",0.247222222,Isoleucine and derivatives,0.077777778,Aromatic heteropolycyclic compounds,0.424007937
1651,57,10,Organic compounds,1,Organoheterocyclic compounds,0.374801587,Carboxylic acids and derivatives,0.247222222,"Amino acids, peptides, and analogues",0.247222222,Isoleucine and derivatives,0.077777778,Aromatic heteropolycyclic compounds,0.424007937
1864,57,10,Organic compounds,1,Organoheterocyclic compounds,0.374801587,Carboxylic acids and derivatives,0.247222222,"Amino acids, peptides, and analogues",0.247222222,Isoleucine and derivatives,0.077777778,Aromatic heteropolycyclic compounds,0.424007937
11,S10,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
12,S11,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
13,173,2,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
1592,173,2,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
14,S12,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
15,77,6,Organic compounds,1,Lipids and lipid-like molecules,0.898737374,Prenol lipids,0.71540404,Tetraterpenoids,0.416245791,Xanthophylls,0.416245791,Aliphatic heteropolycyclic compounds,0.40496633
33,77,6,Organic compounds,1,Lipids and lipid-like molecules,0.898737374,Prenol lipids,0.71540404,Tetraterpenoids,0.416245791,Xanthophylls,0.416245791,Aliphatic heteropolycyclic compounds,0.40496633
116,77,6,Organic compounds,1,Lipids and lipid-like molecules,0.898737374,Prenol lipids,0.71540404,Tetraterpenoids,0.416245791,Xanthophylls,0.416245791,Aliphatic heteropolycyclic compounds,0.40496633
143,77,6,Organic compounds,1,Lipids and lipid-like molecules,0.898737374,Prenol lipids,0.71540404,Tetraterpenoids,0.416245791,Xanthophylls,0.416245791,Aliphatic heteropolycyclic compounds,0.40496633
327,77,6,Organic compounds,1,Lipids and lipid-like molecules,0.898737374,Prenol lipids,0.71540404,Tetraterpenoids,0.416245791,Xanthophylls,0.416245791,Aliphatic heteropolycyclic compounds,0.40496633
1812,77,6,Organic compounds,1,Lipids and lipid-like molecules,0.898737374,Prenol lipids,0.71540404,Tetraterpenoids,0.416245791,Xanthophylls,0.416245791,Aliphatic heteropolycyclic compounds,0.40496633
16,S13,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
17,S14,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
18,S15,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
19,14,17,Organic compounds,0.941176471,Lipids and lipid-like molecules,0.656862745,Fatty Acyls,0.504201681,Fatty acids and conjugates,0.179738562,Long-chain fatty acids,0.172385621,Aliphatic acyclic compounds,0.464402428
51,14,17,Organic compounds,0.941176471,Lipids and lipid-like molecules,0.656862745,Fatty Acyls,0.504201681,Fatty acids and conjugates,0.179738562,Long-chain fatty acids,0.172385621,Aliphatic acyclic compounds,0.464402428
73,14,17,Organic compounds,0.941176471,Lipids and lipid-like molecules,0.656862745,Fatty Acyls,0.504201681,Fatty acids and conjugates,0.179738562,Long-chain fatty acids,0.172385621,Aliphatic acyclic compounds,0.464402428
80,14,17,Organic compounds,0.941176471,Lipids and lipid-like molecules,0.656862745,Fatty Acyls,0.504201681,Fatty acids and conjugates,0.179738562,Long-chain fatty acids,0.172385621,Aliphatic acyclic compounds,0.464402428
97,14,17,Organic compounds,0.941176471,Lipids and lipid-like molecules,0.656862745,Fatty Acyls,0.504201681,Fatty acids and conjugates,0.179738562,Long-chain fatty acids,0.172385621,Aliphatic acyclic compounds,0.464402428
181,14,17,Organic compounds,0.941176471,Lipids and lipid-like molecules,0.656862745,Fatty Acyls,0.504201681,Fatty acids and conjugates,0.179738562,Long-chain fatty acids,0.172385621,Aliphatic acyclic compounds,0.464402428
249,14,17,Organic compounds,0.941176471,Lipids and lipid-like molecules,0.656862745,Fatty Acyls,0.504201681,Fatty acids and conjugates,0.179738562,Long-chain fatty acids,0.172385621,Aliphatic acyclic compounds,0.464402428
268,14,17,Organic compounds,0.941176471,Lipids and lipid-like molecules,0.656862745,Fatty Acyls,0.504201681,Fatty acids and conjugates,0.179738562,Long-chain fatty acids,0.172385621,Aliphatic acyclic compounds,0.464402428
299,14,17,Organic compounds,0.941176471,Lipids and lipid-like molecules,0.656862745,Fatty Acyls,0.504201681,Fatty acids and conjugates,0.179738562,Long-chain fatty acids,0.172385621,Aliphatic acyclic compounds,0.464402428
302,14,17,Organic compounds,0.941176471,Lipids and lipid-like molecules,0.656862745,Fatty Acyls,0.504201681,Fatty acids and conjugates,0.179738562,Long-chain fatty acids,0.172385621,Aliphatic acyclic compounds,0.464402428
666,14,17,Organic compounds,0.941176471,Lipids and lipid-like molecules,0.656862745,Fatty Acyls,0.504201681,Fatty acids and conjugates,0.179738562,Long-chain fatty acids,0.172385621,Aliphatic acyclic compounds,0.464402428
742,14,17,Organic compounds,0.941176471,Lipids and lipid-like molecules,0.656862745,Fatty Acyls,0.504201681,Fatty acids and conjugates,0.179738562,Long-chain fatty acids,0.172385621,Aliphatic acyclic compounds,0.464402428
972,14,17,Organic compounds,0.941176471,Lipids and lipid-like molecules,0.656862745,Fatty Acyls,0.504201681,Fatty acids and conjugates,0.179738562,Long-chain fatty acids,0.172385621,Aliphatic acyclic compounds,0.464402428
1269,14,17,Organic compounds,0.941176471,Lipids and lipid-like molecules,0.656862745,Fatty Acyls,0.504201681,Fatty acids and conjugates,0.179738562,Long-chain fatty acids,0.172385621,Aliphatic acyclic compounds,0.464402428
2011,14,17,Organic compounds,0.941176471,Lipids and lipid-like molecules,0.656862745,Fatty Acyls,0.504201681,Fatty acids and conjugates,0.179738562,Long-chain fatty acids,0.172385621,Aliphatic acyclic compounds,0.464402428
2018,14,17,Organic compounds,0.941176471,Lipids and lipid-like molecules,0.656862745,Fatty Acyls,0.504201681,Fatty acids and conjugates,0.179738562,Long-chain fatty acids,0.172385621,Aliphatic acyclic compounds,0.464402428
2021,14,17,Organic compounds,0.941176471,Lipids and lipid-like molecules,0.656862745,Fatty Acyls,0.504201681,Fatty acids and conjugates,0.179738562,Long-chain fatty acids,0.172385621,Aliphatic acyclic compounds,0.464402428
20,101,2,Organic compounds,1,Organoheterocyclic compounds,0.522222222,Tetrapyrroles and derivatives,0.522222222,Chlorins,0.366666667,Chlorins,0.366666667,Aromatic heteropolycyclic compounds,0.733333333
1583,101,2,Organic compounds,1,Organoheterocyclic compounds,0.522222222,Tetrapyrroles and derivatives,0.522222222,Chlorins,0.366666667,Chlorins,0.366666667,Aromatic heteropolycyclic compounds,0.733333333
21,S16,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
22,S17,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
23,S18,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
24,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
42,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
53,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
83,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
101,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
102,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
105,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
115,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
117,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
136,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
137,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
141,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
144,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
154,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
178,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
187,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
188,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
197,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
199,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
200,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
297,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
319,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
328,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
342,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
343,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
347,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
456,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
508,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
514,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
520,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
526,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
550,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
557,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
558,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
563,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
569,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
571,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
572,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
579,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
602,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
626,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
636,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
641,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
644,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
649,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
660,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
664,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
670,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
672,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
675,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
714,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
732,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
734,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
739,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
748,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
757,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
790,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
809,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
810,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
816,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
821,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
823,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
831,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
833,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
846,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
853,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
877,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
983,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
986,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
1002,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
1090,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
1113,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
1170,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
1189,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
1200,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
1459,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
1513,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
1582,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
1653,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
1677,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
1698,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152
