"","OTU","Sample","Abundance","Gut_Subsection","Kingdom","Phylum","Class","Order","Family"
"169","Otu00088","HG_2",0.002808,"HG_2","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae"
"471","Otu00851","ST",0.00276,"ST","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodomicrobiaceae"
"377","Otu00417","GI_4",0.002756,"GI_4","Bacteria","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"14","Otu00004","GI_2",0.002715,"GI_2","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae"
"258","Otu00199","HG_2",0.002684,"HG_2","Bacteria","Tenericutes","Mollicutes","T2WK15B57","T2WK15B57_fa"
"125","Otu00047","GI_2",0.00264,"GI_2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae"
"328","Otu00278","HG_3",0.002628,"HG_3","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"54","Otu00016","HG_3",0.002544,"HG_3","Bacteria","Spirochaetes","Spirochaetia","Brevinematales","Brevinemataceae"
"228","Otu00148","HG_1",0.002492,"HG_1","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallales_unclassified"
"107","Otu00040","GI_1",0.002455,"GI_1","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae"
"227","Otu00148","HG_3",0.002396,"HG_3","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallales_unclassified"
"175","Otu00088","GI_4",0.0023,"GI_4","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae"
"331","Otu00282","HG_3",0.002248,"HG_3","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae"
"212","Otu00133","HG_3",0.002216,"HG_3","Eukaryota","Parabasalia","Parabasalia_unclassified","Parabasalia_unclassified","Parabasalia_unclassified"
"295","Otu00238","GI_3",0.002164,"GI_3","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified"
"232","Otu00148","HG_2",0.00214,"HG_2","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallales_unclassified"
"327","Otu00278","HG_2",0.002084,"HG_2","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
