,Species,Gut_SubSection,Gut_SubSection.padjust,Species.padjust,Kingdom,Phylum,Class,Order,Family,Genus,ST.mean,PC.mean,GI_1.mean,GI_2.mean,GI_3.mean,GI_4.mean,HG_1.mean,HG_2.mean,HG_3.mean
Otu00182,0.429100591,0.000116874,0.000649394,0.611923479,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,6.67E-05,0.000183333,0.00025,5.50E-05,0.00016,0.000764,0.00262,0.002208,0.002788
Otu00015,0.105128701,0.000569965,0.002526417,0.448359702,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcaceae_unclassified,0.000986667,0.003793333,0.17421,0.08898,0.016428,0.012684,0.00644,0.008912,0.00276
Otu00060,0.640758646,0.009986765,0.025998595,0.740202887,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Epulopiscium,0.000256667,0.036573333,0.00383,0.003265,0.006084,0.00272,0.001784,0.00166,0.002744
Otu00194,0.098886454,0.000164226,0.000852462,0.43345229,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0,0,0,0,0,0.000352,0.002924,0.002312,0.002664
Otu00395,0.216380299,0.00666135,0.018703934,0.506892775,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Eggerthellaceae_unclassified,9.00E-05,0.00031,0,0,0,2.40E-05,0.000672,0.000868,0.00258
Otu00175,0.077040069,1.02E-05,9.14E-05,0.381365822,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.000216667,5.00E-04,0,0,5.60E-05,0.00034,0.002048,0.00212,0.002488
Otu00181,0.51225297,0.002988592,0.010076919,0.661978307,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.000366667,0.00053,0,0,0,0.000424,0.00244,0.002184,0.002456
Otu00201,0.082515711,0.019198048,0.045351078,0.392198169,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,0.00014,0.00055,0,0,0,0.00026,0.001116,0.001144,0.002344
Otu00218,0.28405468,2.15E-08,2.57E-06,0.519270583,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Breznakia,6.00E-05,9.00E-05,0,4.50E-05,5.60E-05,0.000308,0.00196,0.002044,0.002328
Otu00238,0.133040108,7.10E-09,1.40E-06,0.478925025,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified,7.33E-05,0.000306667,0,0,0,0.000268,0.001916,0.001852,0.002288
Otu00232,0.371319955,0.000373004,0.001772894,0.562930642,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,7.67E-05,0.00032,0,0,0,1.00E-04,0.00158,0.001704,0.002224
Otu00204,0.263754787,0.01612948,0.038799267,0.519270583,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,4.00E-05,0.00156,0.00049,0,0,0.000448,0.000864,0.002832,0.002216
Otu00147,0.337728106,5.20E-06,5.70E-05,0.54558009,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0,0.001176667,0.000515,0,0,0.000304,0.001688,0.002348,0.002204
Otu00190,0.313300265,1.68E-05,0.00013794,0.534135687,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_vadinBB60_group,Clostridiales_vadinBB60_group_ge,7.67E-05,0.000466667,0,0,8.40E-05,0.00024,0.002048,0.002016,0.002144
Otu00148,0.781016283,1.21E-07,6.33E-06,0.817270355,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,Victivallales_unclassified,Victivallales_unclassified,0.000263333,0.000436667,0.000155,3.50E-05,5.20E-05,0.000432,0.002372,0.002068,0.00212
Otu00265,0.286045351,0.000132502,0.000720996,0.519270583,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,3.00E-05,8.67E-05,5.50E-05,0,6.00E-05,0.000628,0.00192,0.001632,0.002036
Otu00407,0.208812221,1.70E-07,6.61E-06,0.500768519,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,0.000136667,7.00E-05,0,0,5.60E-05,0.00018,0.001416,0.001368,0.002
Otu00278,0.580350093,4.30E-09,1.13E-06,0.699381027,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,uncultured,7.33E-05,0.00014,6.00E-05,5.00E-06,0.000108,0.000488,0.001224,0.001544,0.001936
Otu00213,0.078956636,2.15E-07,7.45E-06,0.382188872,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.00021,0,0,0,0,8.40E-05,0.001412,0.001928,0.001932
Otu00323,0.046817559,0.000219167,0.001087564,0.357317873,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,0.000166667,0.000276667,0,0,3.20E-05,0.000296,0.001344,0.00134,0.001868
Otu00187,0.074234136,1.44E-06,2.41E-05,0.380891674,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.000146667,0.000226667,0,0,6.00E-05,0.000408,0.002016,0.001812,0.00186
Otu00163,0.153328482,0.001179745,0.004608013,0.478925025,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,8.33E-05,0.000363333,0,0,0,0.000296,0.002464,0.001876,0.001852
Otu00300,0.999929528,3.02E-05,0.000218881,0.999929528,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,9.33E-05,0.000293333,7.50E-05,0,6.80E-05,0.00032,0.001412,0.00126,0.001848
Otu00247,0.208204144,0.008237353,0.022257778,0.500768519,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,0.000136667,0.000673333,0,0.00058,0.000472,0.000752,0.001288,0.00162,0.001844
Otu00200,0.133069789,7.69E-06,7.68E-05,0.478925025,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,9.00E-05,0.00073,0,0,5.60E-05,0.00028,0.001996,0.001896,0.001828
Otu00310,0.040215194,0.001334215,0.005110171,0.357317873,Bacteria,Tenericutes,Mollicutes,DMI,DMI_fa,DMI_ge,5.67E-05,2.00E-04,0,0,0,2.40E-05,0.0018,0.00156,0.001828
Otu00081,0.185235495,0.003058242,0.010224378,0.492586774,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridiaceae_1_unclassified,0.000186667,0.00679,0.002,0.004245,0.011004,0.010368,0.002432,0.001288,0.001828
Otu00301,0.170545462,6.03E-07,1.37E-05,0.486216298,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_vadinBB60_group,Clostridiales_vadinBB60_group_ge,6.00E-05,0,1.00E-04,0,0,0.000156,0.001556,0.0016,0.001744
Otu00352,0.938654055,2.57E-05,0.000191657,0.944640369,Bacteria,Tenericutes,Mollicutes,Mollicutes_RF39,Mollicutes_RF39_fa,Mollicutes_RF39_ge,0.00016,7.00E-04,8.00E-05,0,0,0.000108,0.001096,0.001548,0.001744
Otu00318,0.150720859,2.87E-07,8.40E-06,0.478925025,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0,0,9.00E-05,0,8.80E-05,0.000336,0.001548,0.001444,0.001672
Otu00210,0.173373801,5.04E-05,0.000310366,0.487543261,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.000116667,0.000323333,0,5.50E-05,4.40E-05,0.000228,0.001056,0.001352,0.001668
Otu00208,0.387129465,7.13E-05,0.00041658,0.574145015,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,0,0.000166667,0.000315,0,2.40E-05,0.000696,0.00262,0.00156,0.001616
Otu00261,0.126979231,1.24E-06,2.18E-05,0.478925025,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.00017,0.000146667,0,0,4.40E-05,5.00E-04,0.00172,0.001672,0.001584
Otu00330,0.150567762,1.57E-06,2.48E-05,0.478925025,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,3.33E-05,0.00029,0,0,4.00E-05,0.00024,0.00094,0.001124,0.001572
Otu00289,0.314135232,0.00404718,0.012376841,0.534135687,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,Gastranaerophilales_fa,Gastranaerophilales_ge,2.00E-05,0.000196667,3.50E-05,0,0,4.40E-05,0.001224,0.001428,0.00154
Otu00379,0.330566363,0.002885942,0.009900035,0.543032096,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,3.67E-05,0.00022,0,3.00E-05,0,0.000132,0.000976,0.000956,0.00154
Otu00284,0.427910287,4.14E-07,1.05E-05,0.611632638,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,6.33E-05,0.000116667,0.000105,5.00E-06,2.40E-05,0.000228,0.001992,0.001648,0.001508
Otu00384,0.441745659,4.18E-05,0.000269569,0.621278654,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,9.33E-05,0,0,0,6.00E-05,0.000168,0.001076,0.000936,0.001504
Otu00303,0.603858812,0.010153529,0.026180179,0.714492937,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,5.00E-05,7.00E-05,0,0,0,0.000324,0.00122,0.001172,0.0015
Otu00430,0.029271808,7.28E-07,1.46E-05,0.357317873,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,0,0,1.50E-05,0,0,0.000204,0.000908,0.000948,0.001476
Otu00264,0.244782513,8.13E-07,1.57E-05,0.519270583,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0,0.000136667,0,0,4.40E-05,0.000312,0.001164,0.001392,0.001472
Otu00424,0.095451918,0.003513329,0.011245733,0.423098669,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,0.000203333,0.000296667,0,0,4.80E-05,0.000124,0.000964,0.000788,0.001468
Otu00389,0.016564455,2.89E-05,0.000211055,0.357317873,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,1.00E-04,0.000426667,0,5.00E-05,0,2.00E-04,0.000916,0.000924,0.001432
Otu00350,0.036910903,2.03E-06,3.02E-05,0.357317873,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter,0.00014,0.000133333,0,5.00E-06,2.80E-05,2.00E-04,0.000992,0.001196,0.001408
Otu00273,0.356595972,3.09E-06,3.94E-05,0.559883278,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.000146667,0.00038,9.00E-05,0,2.80E-05,0.000224,0.001456,0.00128,0.001392
Otu00151,0.430250603,3.29E-06,4.06E-05,0.611923479,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiae_unclassified,Verrucomicrobiae_unclassified,Verrucomicrobiae_unclassified,0.000146667,0.000153333,0.00028,0,1.60E-05,0.000112,0.001768,0.00156,0.001376
Otu00380,0.159552485,0.000202548,0.001024425,0.478925025,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,2.67E-05,0,0,0,4.00E-05,0.000244,0.00116,0.00128,0.001372
Otu00374,0.238093804,0.005738146,0.016583871,0.518939257,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,7.00E-05,1.00E-04,5.00E-05,0,5.60E-05,0.000484,0.001012,0.001056,0.001364
Otu00339,0.57236124,3.48E-05,0.000245311,0.697803329,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales_unclassified,Rhodospirillales_unclassified,0,0,0,0,0,0.000116,0.001632,0.001388,0.001316
Otu00107,0.027828233,2.27E-05,0.000173338,0.357317873,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrionaceae_unclassified,0.000316667,0.000193333,0.0042,0.00909,0.003192,0.003064,0.001512,0.00182,0.001308
Otu00316,0.217790432,7.42E-07,1.46E-05,0.506892775,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,1.67E-05,7.00E-05,0,0,6.80E-05,0.000344,0.001216,0.001252,0.001272
Otu00382,0.075765554,6.75E-06,7.01E-05,0.380891674,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,4.00E-05,0.00048,0,1.50E-05,6.00E-05,0.000132,0.001052,0.00114,0.001264
Otu00322,0.020992192,3.14E-06,3.94E-05,0.357317873,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,6.33E-05,0.00018,0,0,4.40E-05,0.000184,0.001128,0.001308,0.001252
Otu00362,0.718208772,0.006524911,0.018386267,0.785976999,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella,0,0,0.00017,0,0.000152,0.000372,0.0013,0.001068,0.001236
Otu00415,0.520428069,0.005357822,0.015714949,0.665939015,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter,0.000136667,0.000303333,0.00018,0,6.00E-05,0.000172,0.000944,0.001188,0.001228
Otu00185,0.188104451,0.003401564,0.011136239,0.492586774,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,0.00012,0,0,0,0,0.000108,0.00116,0.001156,0.0012
Otu00366,0.24008605,1.78E-06,2.76E-05,0.519270583,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,0.000263333,0.000156667,0,0,0,8.40E-05,0.001056,0.001156,0.001192
