"","OTU","Sample","Abundance","Species","Gut_Section","Species_Gut_Section","Kingdom","Phylum","Class","Order","Family"
"504","Otu00817","Kyphosus cinerascens_HG",0.000626666666666667,"Kyphosus cinerascens","HG","Kyphosus cinerascens_HG","Bacteria","Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"163","Otu00074","Kyphosus cinerascens_GI",0.000613333333333333,"Kyphosus cinerascens","GI","Kyphosus cinerascens_GI","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae"
"498","Otu00817","Kyphosus cinerascens_GI",0.000606666666666667,"Kyphosus cinerascens","GI","Kyphosus cinerascens_GI","Bacteria","Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"55","Otu00016","Kyphosus hawaiiensis_GI",0.000593333333333333,"Kyphosus hawaiiensis","GI","Kyphosus hawaiiensis_GI","Bacteria","Spirochaetes","Spirochaetia","Brevinematales","Brevinemataceae"
"474","Otu00593","Kyphosus hawaiiensis_HG",0.000593333333333333,"Kyphosus hawaiiensis","HG","Kyphosus hawaiiensis_HG","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Puniceicoccaceae"
"452","Otu00508","Kyphosus vaigiensis_GI",0.000585,"Kyphosus vaigiensis","GI","Kyphosus vaigiensis_GI","Bacteria","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"304","Otu00230","Kyphosus vaigiensis_ST",0.00056,"Kyphosus vaigiensis","ST","Kyphosus vaigiensis_ST","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","uncultured"
"25","Otu00005","Kyphosus hawaiiensis_ST",0.00056,"Kyphosus hawaiiensis","ST","Kyphosus hawaiiensis_ST","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae"
"20","Otu00005","Kyphosus cinerascens_ST",0.00054,"Kyphosus cinerascens","ST","Kyphosus cinerascens_ST","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae"
"249","Otu00148","Kyphosus vaigiensis_ST",0.000526666666666667,"Kyphosus vaigiensis","ST","Kyphosus vaigiensis_ST","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallales_unclassified"
