"","Species","Gut_SubSection","Gut_SubSection.padjust","Species.padjust","cluster.index","CF_componentindex","CF_NrNodes","CF_kingdom","CF_kingdom_score","CF_superclass","CF_superclass_score","CF_class","CF_class_score","CF_subclass","CF_subclass_score","CF_Dparent","CF_Dparent_score","CF_MFramework","CF_MFramework_score"
"171",0.557495526218161,2.8543874405542e-07,2.37729696834728e-05,0.840769300162514,171,"309",4,"Organic compounds",1,"Organoheterocyclic compounds",0.327380952,"Steroids and steroid derivatives",0.178571429,"",0.222222222,"Androgens and derivatives",0.071428571,"Aromatic heteropolycyclic compounds",0.382936508
"172",0.3612368160379,0.00452512305490936,0.032569712852002,0.81313152027064,172,"95",6,"Organic compounds",1,"Organic acids and derivatives",0.666203704,"Carboxylic acids and derivatives",0.616203704,"Amino acids, peptides, and analogues",0.616203704,"Dipeptides",0.461441799,"Aliphatic acyclic compounds",0.666203704
"185",0.108548781539427,0.0021087205052493,0.0186298247807739,0.493397757487692,185,"S80",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"191",0.0451803713092242,4.58397503194285e-05,0.000944352817404428,0.381741398163445,191,"52",20,"Organic compounds",1,"Organic acids and derivatives",0.501765873,"Carboxylic acids and derivatives",0.461488095,"Amino acids, peptides, and analogues",0.461488095,"Dipeptides",0.269186508,"Aromatic heteropolycyclic compounds",0.33827381
"200",0.496154561977725,0.0075747723629432,0.0485284866768779,0.840769300162514,200,"5",100,"Organic compounds",0.93,"Organic acids and derivatives",0.288345599,"Carboxylic acids and derivatives",0.271099206,"Amino acids, peptides, and analogues",0.269849206,"Dipeptides",0.112630952,"Aromatic heteropolycyclic compounds",0.295015152
"210",0.275427002949777,0.000604972166670481,0.00750422921635937,0.729881557816908,210,"S92",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"213",0.220606610476718,0.00642961428015324,0.0421175856778577,0.649563908625893,213,"S94",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"215",0.214926860916828,0.00571255232600117,0.0387257907681242,0.6425762046898,215,"S96",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"220",0.023242957824546,4.85944846005709e-05,0.000944352817404428,0.341066549744865,220,"S99",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"233",0.153914635645575,0.00409434321332394,0.0298375261670982,0.55208570713623,233,"S107",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"245",0.32411449647856,0.00784262587841475,0.0496983792077804,0.793944333810927,245,"41",3,"Organic compounds",1,"Lipids and lipid-like molecules",0.69047619,"Steroids and steroid derivatives",0.416666667,"Steroidal glycosides",0.259259259,"Steroidal glycosides",0.259259259,"Aliphatic heteropolycyclic compounds",0.464285714
"246",0.774708290766437,7.40201683864315e-06,0.000196153446224044,0.878942135819804,246,"3",74,"Organic compounds",1,"Lipids and lipid-like molecules",0.826045201,"Prenol lipids",0.390973928,"Diterpenoids",0.1878003,"Diterpenoids",0.119417632,"Aliphatic homopolycyclic compounds",0.268458231
"249",0.127811224632318,0.00239770136789578,0.0196965491394145,0.536071539285191,249,"14",17,"Organic compounds",0.941176471,"Lipids and lipid-like molecules",0.656862745,"Fatty Acyls",0.504201681,"Fatty acids and conjugates",0.179738562,"Long-chain fatty acids",0.172385621,"Aliphatic acyclic compounds",0.464402428
"261",0.178404854724521,8.87899464063906e-06,0.000225063211977938,0.581061621812265,261,"3",74,"Organic compounds",1,"Lipids and lipid-like molecules",0.826045201,"Prenol lipids",0.390973928,"Diterpenoids",0.1878003,"Diterpenoids",0.119417632,"Aliphatic homopolycyclic compounds",0.268458231
"267",0.145186295125956,1.55722072719447e-06,6.18117932891474e-05,0.547803593504631,267,"3",74,"Organic compounds",1,"Lipids and lipid-like molecules",0.826045201,"Prenol lipids",0.390973928,"Diterpenoids",0.1878003,"Diterpenoids",0.119417632,"Aliphatic homopolycyclic compounds",0.268458231
"296",0.457423367879604,0.000372347696007731,0.00516854063744065,0.840769300162514,296,"S137",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"335",0.30999585949928,0.0020950822312872,0.0186298247807739,0.785772113426436,335,"52",20,"Organic compounds",1,"Organic acids and derivatives",0.501765873,"Carboxylic acids and derivatives",0.461488095,"Amino acids, peptides, and analogues",0.461488095,"Dipeptides",0.269186508,"Aromatic heteropolycyclic compounds",0.33827381
"344",0.349884334369877,0.000416219985757164,0.00564316864410294,0.804009124089685,344,"S155",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"346",0.423805998140024,0.00408317876851122,0.0298375261670982,0.840769300162514,346,"73",30,"Organic compounds",1,"Lipids and lipid-like molecules",0.442142857,"Prenol lipids",0.283597884,"Triterpenoids",0.213835979,"Triterpenoids",0.213835979,"Aromatic heteropolycyclic compounds",0.37297619
"349",0.0701079081900686,2.43720655006121e-06,7.89384121492046e-05,0.41345228167288,349,"126",4,"Organic compounds",1,"Organoheterocyclic compounds",0.431547619,"Carboxylic acids and derivatives",0.22172619,"Amino acids, peptides, and analogues",0.22172619,"Benzylisoquinolines",0.142857143,"Aromatic heteromonocyclic compounds",0.45734127
"354",0.417310643241436,0.00173094550318761,0.0164768722897911,0.840769300162514,354,"1",3,"Organic compounds",1,"Phenylpropanoids and polyketides",0.351851852,"Benzene and substituted derivatives",0.237037037,"",0.185185185,"Retrochalcones",0.166666667,"Aromatic homomonocyclic compounds",0.648148148
"373",0.146521678563842,0.00250541140187927,0.0197385790175083,0.547803593504631,373,"S168",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"376",0.856297552814954,0.000880874782573501,0.00987596150462213,0.903631033268283,376,"S170",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
