Tree#,Groups,WScore
1,F3_GI-F5_HG_3,0.788802
1,F3_HG-F5_HG_3,0.53785
1,F3_PC-F5_HG_3,0.682109
1,F3_STOM-F5_HG_3,0.775208
1,F4_GI_1-F5_HG_3,0.724444
1,F4_GI_2-F5_HG_3,0.706962
1,F4_GI_3-F5_HG_3,0.698828
1,F4_GI_4-F5_HG_3,0.644959
1,F4_HG_1-F5_HG_3,0.310298
1,F4_HG_2-F5_HG_3,0.32159
1,F4_HG_3-F5_HG_3,0.323042
1,F4_PC-F5_HG_3,0.615049
1,F4_STOM-F5_HG_3,0.819632
1,F5_GI_1-F5_HG_3,0.646465
1,F5_GI_2-F5_HG_3,0.648985
1,F5_GI_3-F5_HG_3,0.583212
1,F5_GI_4-F5_HG_3,0.418925
1,F5_HG_1-F5_HG_3,0.083214
1,F5_HG_2-F5_HG_3,0.093705
1,BLANK2_1_A-F5_PC,0.429482
1,F1_GI-F5_PC,0.680264
1,F1_HG-F5_PC,0.535752
1,F1_PC-F5_PC,0.600407
1,F1_STOM-F5_PC,0.706704
1,F2_GI-F5_PC,0.63949
1,F2_HG-F5_PC,0.506392
1,F2_PC-F5_PC,0.59939
1,F3_GI-F5_PC,0.661755
1,F3_HG-F5_PC,0.601536
1,F3_PC-F5_PC,0.57848
1,F3_STOM-F5_PC,0.679333
1,F4_GI_1-F5_PC,0.515522
1,F4_GI_2-F5_PC,0.513803
1,F4_GI_3-F5_PC,0.483994
1,F4_GI_4-F5_PC,0.436627
1,F4_HG_1-F5_PC,0.267501
1,F4_HG_2-F5_PC,0.229515
1,F4_HG_3-F5_PC,0.324979
1,F4_PC-F5_PC,0.480879
1,F4_STOM-F5_PC,0.723554
1,F5_GI_1-F5_PC,0.485372
1,F5_GI_2-F5_PC,0.449549
1,F5_GI_3-F5_PC,0.489915
1,F5_GI_4-F5_PC,0.329774
1,F5_HG_1-F5_PC,0.326483
1,F5_HG_2-F5_PC,0.343104
1,F5_HG_3-F5_PC,0.375417
1,BLANK2_1_A-F5_STOM,0.491608
1,F1_GI-F5_STOM,0.625211
1,F1_HG-F5_STOM,0.672547
1,F1_PC-F5_STOM,0.660977
1,F1_STOM-F5_STOM,0.387255
1,F2_GI-F5_STOM,0.575553
1,F2_HG-F5_STOM,0.640878
1,F2_PC-F5_STOM,0.625444
1,F3_GI-F5_STOM,0.662726
1,F3_HG-F5_STOM,0.618828
1,F3_PC-F5_STOM,0.527855
1,F3_STOM-F5_STOM,0.466589
1,F4_GI_1-F5_STOM,0.441819
1,F4_GI_2-F5_STOM,0.585084
1,F4_GI_3-F5_STOM,0.564984
1,F4_GI_4-F5_STOM,0.569058
1,F4_HG_1-F5_STOM,0.459462
1,F4_HG_2-F5_STOM,0.429779
1,F4_HG_3-F5_STOM,0.51929
1,F4_PC-F5_STOM,0.457859
1,F4_STOM-F5_STOM,0.45064
1,F5_GI_1-F5_STOM,0.407909
1,F5_GI_2-F5_STOM,0.494092
1,F5_GI_3-F5_STOM,0.51196
1,F5_GI_4-F5_STOM,0.347939
1,F5_HG_1-F5_STOM,0.462578
1,F5_HG_2-F5_STOM,0.479848
1,F5_HG_3-F5_STOM,0.505001
1,F5_PC-F5_STOM,0.38589
1,BLANK2_1_A-F6_GI_1,0.608408
1,F1_GI-F6_GI_1,0.838628
1,F1_HG-F6_GI_1,0.671157
1,F1_PC-F6_GI_1,0.470441
1,F1_STOM-F6_GI_1,0.797628
1,F2_GI-F6_GI_1,0.796451
1,F2_HG-F6_GI_1,0.62496
1,F2_PC-F6_GI_1,0.477598
1,F3_GI-F6_GI_1,0.740594
1,F3_HG-F6_GI_1,0.343043
1,F3_PC-F6_GI_1,0.548469
1,F3_STOM-F6_GI_1,0.795725
1,F4_GI_1-F6_GI_1,0.705981
1,F4_GI_2-F6_GI_1,0.693465
1,F4_GI_3-F6_GI_1,0.69652
1,F4_GI_4-F6_GI_1,0.659707
1,F4_HG_1-F6_GI_1,0.58578
1,F4_HG_2-F6_GI_1,0.588629
1,F4_HG_3-F6_GI_1,0.63182
1,F4_PC-F6_GI_1,0.681098
1,F4_STOM-F6_GI_1,0.827186
1,F5_GI_1-F6_GI_1,0.56057
1,F5_GI_2-F6_GI_1,0.651367
1,F5_GI_3-F6_GI_1,0.664155
1,F5_GI_4-F6_GI_1,0.602903
1,F5_HG_1-F6_GI_1,0.554966
1,F5_HG_2-F6_GI_1,0.561495
1,F5_HG_3-F6_GI_1,0.550737
1,F5_PC-F6_GI_1,0.567308
1,F5_STOM-F6_GI_1,0.617517
1,BLANK2_1_A-F6_GI_3,0.740828
1,F1_GI-F6_GI_3,0.86514
1,F1_HG-F6_GI_3,0.764076
1,F1_PC-F6_GI_3,0.577663
1,F1_STOM-F6_GI_3,0.819807
1,F2_GI-F6_GI_3,0.841644
1,F2_HG-F6_GI_3,0.728402
1,F2_PC-F6_GI_3,0.581146
1,F3_GI-F6_GI_3,0.848609
1,F3_HG-F6_GI_3,0.650186
1,F3_PC-F6_GI_3,0.638073
1,F3_STOM-F6_GI_3,0.828914
1,F4_GI_1-F6_GI_3,0.781698
1,F4_GI_2-F6_GI_3,0.769874
1,F4_GI_3-F6_GI_3,0.742672
1,F4_GI_4-F6_GI_3,0.695924
1,F4_HG_1-F6_GI_3,0.690969
1,F4_HG_2-F6_GI_3,0.69758
1,F4_HG_3-F6_GI_3,0.765052
1,F4_PC-F6_GI_3,0.80918
1,F4_STOM-F6_GI_3,0.881706
1,F5_GI_1-F6_GI_3,0.729839
1,F5_GI_2-F6_GI_3,0.691952
1,F5_GI_3-F6_GI_3,0.724086
1,F5_GI_4-F6_GI_3,0.663825
1,F5_HG_1-F6_GI_3,0.6599
1,F5_HG_2-F6_GI_3,0.670431
1,F5_HG_3-F6_GI_3,0.655272
1,F5_PC-F6_GI_3,0.704174
1,F5_STOM-F6_GI_3,0.681598
1,F6_GI_1-F6_GI_3,0.502327
1,BLANK2_1_A-F6_GI_4,0.603407
1,F1_GI-F6_GI_4,0.846286
1,F1_HG-F6_GI_4,0.589904
1,F1_PC-F6_GI_4,0.484544
1,F1_STOM-F6_GI_4,0.797889
1,F2_GI-F6_GI_4,0.822057
1,F2_HG-F6_GI_4,0.552735
1,F2_PC-F6_GI_4,0.477728
1,F3_GI-F6_GI_4,0.888804
1,F3_HG-F6_GI_4,0.406546
1,F3_PC-F6_GI_4,0.620481
1,F3_STOM-F6_GI_4,0.8238
1,F4_GI_1-F6_GI_4,0.789254
1,F4_GI_2-F6_GI_4,0.777554
1,F4_GI_3-F6_GI_4,0.759163
1,F4_GI_4-F6_GI_4,0.713175
1,F4_HG_1-F6_GI_4,0.527008
1,F4_HG_2-F6_GI_4,0.536105
1,F4_HG_3-F6_GI_4,0.581358
1,F4_PC-F6_GI_4,0.718388
1,F4_STOM-F6_GI_4,0.86257
1,F5_GI_1-F6_GI_4,0.708588
1,F5_GI_2-F6_GI_4,0.722549
1,F5_GI_3-F6_GI_4,0.697937
1,F5_GI_4-F6_GI_4,0.558368
1,F5_HG_1-F6_GI_4,0.455298
1,F5_HG_2-F6_GI_4,0.455177
1,F5_HG_3-F6_GI_4,0.444108
1,F5_PC-F6_GI_4,0.570836
1,F5_STOM-F6_GI_4,0.591544
1,F6_GI_1-F6_GI_4,0.405156
1,F6_GI_3-F6_GI_4,0.525753
1,BLANK2_1_A-F6_HG_1,0.651116
1,F1_GI-F6_HG_1,0.905701
1,F1_HG-F6_HG_1,0.537633
1,F1_PC-F6_HG_1,0.638515
1,F1_STOM-F6_HG_1,0.854086
1,F2_GI-F6_HG_1,0.879681
1,F2_HG-F6_HG_1,0.476156
1,F2_PC-F6_HG_1,0.63393
1,F3_GI-F6_HG_1,0.91806
1,F3_HG-F6_HG_1,0.317186
1,F3_PC-F6_HG_1,0.677463
1,F3_STOM-F6_HG_1,0.869526
1,F4_GI_1-F6_HG_1,0.833767
1,F4_GI_2-F6_HG_1,0.814788
1,F4_GI_3-F6_HG_1,0.799567
1,F4_GI_4-F6_HG_1,0.759653
1,F4_HG_1-F6_HG_1,0.5472
1,F4_HG_2-F6_HG_1,0.569859
1,F4_HG_3-F6_HG_1,0.551587
1,F4_PC-F6_HG_1,0.749944
1,F4_STOM-F6_HG_1,0.896449
1,F5_GI_1-F6_HG_1,0.773398
1,F5_GI_2-F6_HG_1,0.778589
1,F5_GI_3-F6_HG_1,0.757941
1,F5_GI_4-F6_HG_1,0.615208
1,F5_HG_1-F6_HG_1,0.489562
1,F5_HG_2-F6_HG_1,0.483264
1,F5_HG_3-F6_HG_1,0.475054
1,F5_PC-F6_HG_1,0.616028
1,F5_STOM-F6_HG_1,0.665175
1,F6_GI_1-F6_HG_1,0.381249
1,F6_GI_3-F6_HG_1,0.63493
1,F6_GI_4-F6_HG_1,0.293465
1,BLANK2_1_A-F6_HG_2,0.596423
1,F1_GI-F6_HG_2,0.839716
1,F1_HG-F6_HG_2,0.628067
1,F1_PC-F6_HG_2,0.670411
1,F1_STOM-F6_HG_2,0.801865
1,F2_GI-F6_HG_2,0.801868
1,F2_HG-F6_HG_2,0.552152
1,F2_PC-F6_HG_2,0.638096
1,F3_GI-F6_HG_2,0.718344
1,F3_HG-F6_HG_2,0.281558
1,F3_PC-F6_HG_2,0.621627
1,F3_STOM-F6_HG_2,0.803421
1,F4_GI_1-F6_HG_2,0.761634
1,F4_GI_2-F6_HG_2,0.74526
1,F4_GI_3-F6_HG_2,0.729395
1,F4_GI_4-F6_HG_2,0.69593
1,F4_HG_1-F6_HG_2,0.556259
1,F4_HG_2-F6_HG_2,0.554719
1,F4_HG_3-F6_HG_2,0.550695
1,F4_PC-F6_HG_2,0.651977
1,F4_STOM-F6_HG_2,0.826027
1,F5_GI_1-F6_HG_2,0.706347
1,F5_GI_2-F6_HG_2,0.707852
1,F5_GI_3-F6_HG_2,0.66659
1,F5_GI_4-F6_HG_2,0.571759
1,F5_HG_1-F6_HG_2,0.522743
1,F5_HG_2-F6_HG_2,0.524857
1,F5_HG_3-F6_HG_2,0.532713
1,F5_PC-F6_HG_2,0.563741
1,F5_STOM-F6_HG_2,0.619627
1,F6_GI_1-F6_HG_2,0.401583
1,F6_GI_3-F6_HG_2,0.628532
1,F6_GI_4-F6_HG_2,0.434647
1,F6_HG_1-F6_HG_2,0.318121
1,BLANK2_1_A-F6_HG_3,0.62512
1,F1_GI-F6_HG_3,0.885706
1,F1_HG-F6_HG_3,0.579037
1,F1_PC-F6_HG_3,0.640571
1,F1_STOM-F6_HG_3,0.838833
1,F2_GI-F6_HG_3,0.856754
1,F2_HG-F6_HG_3,0.526461
1,F2_PC-F6_HG_3,0.604551
1,F3_GI-F6_HG_3,0.810661
1,F3_HG-F6_HG_3,0.281463
1,F3_PC-F6_HG_3,0.648379
1,F3_STOM-F6_HG_3,0.843523
1,F4_GI_1-F6_HG_3,0.80106
1,F4_GI_2-F6_HG_3,0.7815
1,F4_GI_3-F6_HG_3,0.768197
