"","F1_GI","F1_HG","F2_GI","F2_HG","F3_GI","F3_HG","F4_GI_1","F4_GI_2","F4_GI_3","F4_GI_4","F4_HG_1","F4_HG_2","F4_HG_3","F5_GI_1","F5_GI_2","F5_GI_3","F5_GI_4","F5_HG_1","F5_HG_2","F5_HG_3","F6_GI_1","F6_GI_3","F6_GI_4","F6_HG_1","F6_HG_2","F6_HG_3","F7_GI_2","F7_GI_3","F7_GI_4","F7_HG_1","F7_HG_2","F7_HG_3","F8_GI_1","F8_GI_2","F8_GI_3","F8_GI_4","F8_HG_1","F8_HG_2","F8_HG_3"
"Otu00065",0,0,0.00048,0.00062,0,0.00964,0.00102,0.00038,0.00182,0.00168,0.00054,0.00058,0,0,0.00076,6e-04,0.0013,0.00162,0.00146,0.00212,0.00906,0.00408,0.02124,0.00614,0.00402,0.00776,0.00226,0.00048,0.00078,0,0,0,0,0.00294,0.03738,0.01814,0.002,0.0014,0
"Otu00069",0,0.01278,0,0.02572,0,0.0012,0,0,0,0,0.00634,0.00518,0.00708,0,8e-05,0.00158,0.00478,0.01092,0.01564,0.012,0.0013,0,0.00174,0.00206,0.00126,0.00098,0.00016,0,0.00032,0.00946,0.01344,0.01888,0,0,0,0.00278,0.01088,0.00882,0.0186
"Otu00070",0.06216,0,4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00072",0,0,0,0.01078,0,0.01238,0,0,0,0,0,0,0,0.00064,0,0.00156,0.00606,0.01018,0.00768,0.01024,0.00386,0.00072,0.0068,0.0171,0.004,0.00488,0.00036,0,0,0.00696,0.007,0.0066,0,0,0,4e-04,0.00306,0.00306,0.02918
"Otu00073",0,0,0,0.00016,0,0,0,0,0,0,0,0,0,0,0.00648,0.00448,0.00418,0.00134,0.00098,0.00062,0,0.00938,0.00226,1e-04,0.00014,6e-05,0,0.05776,0.0498,0.01134,0.00632,0.00226,0,0,0.0018,0.00452,0.00042,0.00092,0.00024
"Otu00074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00162,0,0.00022,0.01804,0.05284,0.04526,0,0,0,0,0,0,0,0,0,0,0,0,2e-05
"Otu00079",0,0.03878,4e-05,0.01002,0,0.00056,0,0,0,0,0.01348,0.0135,0.01732,0,0,0.00046,0.0011,0.00474,0.00506,0.00522,0.00254,0,0.00172,0.00192,0.00058,0.00082,8e-05,0,0.00028,0.00538,0.006,0.00734,0,4e-05,0,0.00204,0.00938,0.0058,0.0141
"Otu00081",0,0,0.00014,0.00262,0,0.00214,0.00064,0.0012,0.00232,0.00292,0.00028,2e-04,0.00016,0.00142,0.00506,0.00306,0.00286,0.00244,0.00188,0.00356,0.0056,0.021,0.00804,0.0035,0.00184,0.00384,0.00428,3e-04,0.00088,0,0,0,0.00034,0.00644,0.02834,0.03714,0.00594,0.00252,0.00158
"Otu00082",0,0,0,0.00084,0,0,0,0,0.00056,0.00054,0.00048,0,0,0,0,0,1e-04,2e-04,0.00014,0.00016,0,0.00152,0.00192,0.00018,0,0,0,0.0441,0.03314,0.00796,0.00406,0.00148,0,0.00266,0.01572,0.00886,0.00078,0.00076,0.00022
"Otu00083",0,0.00788,0,0.00558,0,0.00068,0,0,0,0,0.01026,0.00968,0.01528,0,0,0,0,0,0.00102,0.00092,0,0,0,0.00112,0.00216,0.00274,0,0,0,0.00688,0.0091,0.0102,0,0,0,0.00152,0.0026,0.00202,0.00282
