"","F1_GI","F1_HG","F2_GI","F2_HG","F3_GI","F3_HG","F4_GI_1","F4_GI_2","F4_GI_3","F4_GI_4","F4_HG_1","F4_HG_2","F4_HG_3","F5_GI_1","F5_GI_2","F5_GI_3","F5_GI_4","F5_HG_1","F5_HG_2","F5_HG_3","F6_GI_1","F6_GI_3","F6_GI_4","F6_HG_1","F6_HG_2","F6_HG_3","F7_GI_2","F7_GI_3","F7_GI_4","F7_HG_1","F7_HG_2","F7_HG_3","F8_GI_1","F8_GI_2","F8_GI_3","F8_GI_4","F8_HG_1","F8_HG_2","F8_HG_3"
"Otu00304",0,0.00198,0,0.0012,0,0,0,0,0,0,0.00146,0.00106,0.00124,0,0,2e-05,3e-04,0.00074,0.00086,0.00088,0,0,0,0,0,0,0,0,1e-04,0.00164,0.00104,0.00136,0,0,0,0.00046,0.00172,0.00218,0.00212
"Otu00305",0,0,0,0,0,0,0,0,0,0,5e-04,0.00042,0.00072,0,0,0,0,0.00042,0.00052,0,0,0,0,0,0,0,0,0,0.00048,0.00804,0.00584,0.00616,0,0,0,0,0,0,0
"Otu00306",0,0,0,0,0,0,0.00792,0.00802,0.00532,0.00712,0.00076,0.00174,0.00042,0,0.00086,0.00036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00116,0.00064,0,0,0
"Otu00308",0,0,0,0,0,0,0.00124,0.00858,0.00726,0.00496,0.00016,0.00012,0,0,0.00086,0.0013,0.00024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00298,0.0024,0,0,0
"Otu00310",0,0.00054,0,0.00072,0,0,0,0,0,0,8e-04,0.00036,0.00098,0,0,0,0.00012,2e-04,0.00056,0.00034,0,0,0,0,0,0,0,0,0,0.00692,0.00578,0.0073,0,0,0,0,0.00108,0.0011,0.00052
"Otu00311",0,0,0,0,0,0,0,6e-05,0.00244,0.00208,0.00292,0.00304,0,8e-04,0.00248,0.00446,0.0018,0,0.00036,0,0,6e-04,0.00028,0,0,0,0,0,0,0,0,0,0,6e-05,0.00094,0.00328,0.00046,0,0
"Otu00316",0,0,0,0.00134,0,0,0,0,0,0,0.00076,0.00046,7e-04,0,0,0.00034,0.00074,0.00212,0.00226,0.00186,0,0,0,0,0,0,0,0,0,0.00164,0.00218,0.00198,0,0,0,0.00098,0.00156,0.00136,0.00182
"Otu00317",0,0,0,0.00038,0,0,0.00032,0.00142,8e-04,0.00128,6e-04,0.00046,0,0,0.00078,0.0031,0.00194,0.00018,0,0,0,0,0,0,0,0,0,0.00462,0.00206,0.00032,0,0,0,0,0.00694,0.00418,0.00026,6e-04,2e-04
"Otu00318",0,0,0,0.00096,0,0,0,0,0,0,0.00088,0.00096,0.00284,0.00036,0,0.00044,0.00084,0.00298,0.00238,0.00192,0,0,0,0,0,0,0,0,0,0.00214,0.00206,0.00194,0,0,0,0.00084,0.00174,0.00182,0.00166
"Otu00321",0,0,0,0,0,0,0.0039,0.00482,0.00092,0.00076,0.00024,0.00026,0,0.00202,0.00358,0.00534,0.00078,0.00032,0.00018,0.00038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018,0,0,0
"Otu00322",0,0.00316,0,0.00268,0,0,0,0,0,0,0.00154,0.00118,0.00134,0,0,0.00022,0.00052,0.00174,0.0024,0.00168,0,0,0,0,0,0,0,0,0,0.00024,0.00106,0.00096,0,0,0,4e-04,0.00212,0.0019,0.00228
"Otu00323",0,0.00288,0,0,0,0,0,0,0,0,0.00106,0.00138,0.0022,0,0,0.00016,8e-04,0.00328,0.00272,0.00322,0,0,0,0,0,0,0,0,0,0,6e-05,0,0,0,0,0.00068,0.00238,0.00254,0.00392
"Otu00326",0,0,0,0.00052,0,0,0,0,0,0,4e-05,0,0,0,0,0.00014,4e-04,0.0011,0.00126,0.00072,0.00018,0,0,0.0011,0.00066,0.00104,0,0,0.00026,0.00294,0.00236,0.00252,0,0,0,0.00038,0.00218,0.00154,0.0013
"Otu00327",0,0,0,0,0,0,0.00092,0.00406,0.0013,0.00248,0,0,0,0.00108,0.0029,0.00658,0.00228,0.00044,3e-04,4e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-04,8e-04,0,0,0
"Otu00329",0,0.00186,0,0,0,0,0.00032,0.00044,7e-04,0.0024,0.00272,0.00294,0.00034,0,0.00194,0.00196,0.00122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00488,0.00062,0.00064,1e-04
"Otu00330",0,0.00374,0,0.00286,0,0,0,0,0,0,0.00084,0.00086,0.00208,0,0,2e-04,0.00074,0.00182,0.00186,0.00174,0,0,0,0,0,0,0,0,0,0.00084,0.00184,0.00116,0,0,0,0.00046,0.0012,0.00106,0.00288
"Otu00332",0,0,0,0.00126,0,0,0,0,0,0,0.00044,0.00024,0.00052,0,0,0,8e-05,0,0.00018,0,0,0,0,0,0,0,3e-04,0,0,0.00236,0.00184,0.00212,0,0,0,0.00056,0.00188,0.0016,0.00148
"Otu00335",0,0.00256,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00074,0.00256,0.00518,0.00428,0.00748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00138,0.00072,0.00246
"Otu00336",0,0,0,0,0,0.00694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00132,0,0.00138,0.00914,0.00464,0.00172,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00337",0,0,0,0,0,0,0.00048,0.00426,0.00118,0.00138,0.00016,0,0,0,0.00114,0.0047,0.00188,0.00018,0,0,0,0.00038,0,0,0,0,0,0.00224,0.0019,0,0,0,0,0,0.00106,0.00184,0,0,0
"Otu00338",0,0.00092,0,8e-04,0,0,0,0,0,0,0.00096,0.00096,0.0013,0,0,0,0,0.00024,0,0,0,0,0,0,0,0,0,0,0.00012,0.00166,0.00152,0.00174,0,0,0,0.00024,0.002,0.00166,0.00146
"Otu00339",0,0.004,0,0.0035,0,0,0,0,0,0,0.00146,0.00128,0.00184,0,0,0,0,0,0,0,0,0,0,0,2e-04,0.00042,0,0,0,0.00302,0.00248,0.0026,0,0,0,0.00058,0.00368,0.00298,0.00172
"Otu00340",0,0.00234,0,0.00068,0,0,2e-05,0,0,0,0.00042,0.00032,0.00042,0,0,0,0.00012,3e-04,0.00024,0.00044,0,0,0,0,0,0,0,0,0,7e-04,0.00062,0.00088,0,0,0,0,0.0016,0.00146,0.00164
"Otu00342",0,0,0,0,0,0,0.00024,0.00158,0.00132,0.00598,0.00048,0.00034,0,0,0.00092,0.00218,0.00154,0.00044,8e-05,0,0,0,0,0,0,0,0,5e-04,0.00064,0,0,0,0,0,0.00334,0.00302,0.00014,0.00026,8e-05
"Otu00343",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-05,0.00952,0.0069,0.01084,0,0,0,0,0,0,0
"Otu00345",0,0,0,0.00156,0,0,0,0,0,0,0.00078,6e-04,0.00086,0,0,0,4e-04,0.00232,0.00198,0.00176,0,0,0,0,0,0,0,0,0,0.00178,0.00132,9e-04,0,0,0,0.00078,0.00112,0.00088,0.0012
"Otu00346",0,0,0,0,0,0,6e-05,6e-05,0,0.00018,8e-05,0,0,0,0.00016,3e-04,0.00016,2e-05,2e-05,0,0,0,0,0,0,0,0,0.0095,0.01046,0.00064,0.00028,3e-04,0,0,2e-04,0.00288,4e-05,6e-05,4e-05
"Otu00347",0,0,0,0,0,0,0,0,0,0.00064,0,0,0,0.00064,0.00498,0.00566,0.00346,0.00068,0.00058,0.00064,0,0,0,0,0,0,0.00032,0,0,0,0,0,0,0,0,0.00384,0,0.00038,0
"Otu00350",0,0.00458,0,7e-04,0,0,0,0,0,0,0.00102,0.001,0.00216,0,0,0.00014,0.00068,0.00128,0.0013,0.00148,0,0,0,0,0,0,0,0,0,0.00048,0.0013,0.00094,0,2e-05,0,0.00032,0.00218,0.00238,0.00246
"Otu00351",0,0,0,0.0024,0,0,0,0,0,0,2e-04,0.00042,0,0,0,0,0.00018,0,2e-05,3e-04,0,0,0.00066,0.00074,0,0,0,0,0,0.00168,0.00218,0.00178,0.00022,0,0,0.00052,0.00128,0.0013,0.00102
"Otu00352",0,0.0037,0,0.00442,0,0,0,0,0,0,0.00088,0.00124,0.00092,0,0,0,0.00054,0.00182,0.00162,0.00188,0.00032,0,0,3e-04,0.0013,0.00184,0,0,0,0.0023,0.00308,0.00386,0,0,0,0,0.00018,5e-04,0.00022
"Otu00353",0,0,0,0,0,0.00068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00258,4e-05,0.01148,0.00994,0.00176,0.00038,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00355",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012,0.00014,0,0,0,0,0,0,0,0,0,0,0.00364,0.0169,0.00046,0.00014,0,0,0,0,0.00044,0,0,0
"Otu00359",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016,0,0,0,0.0036,0.01392,0,0,0,0,0,0,0,0,0,0,0,0,2e-05
"Otu00360",0.01346,0,0.00552,0,0,0,0,0,0,0,0,0,0,0,0,0.00012,3e-04,0.00074,0.00066,0.001,0,0.00058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00362",0,0,0,8e-04,0,0,0,0,0,0,0.00028,0,0,0.00068,0,0.00076,0.0018,0.00528,0.00358,0.00472,0,0,0,0,0,0,0,0,0,0.00084,0.00158,0.00136,0,0,0,6e-05,1e-04,0.00018,1e-04
"Otu00366",0,0.00568,0,0.00338,0,0,0,0,0,0,0.00156,9e-04,0.0014,0,0,0,0.00034,0.00108,0.00188,0.00192,0,0,0,0,0,0,0,0,8e-05,0.00196,0.00222,0.00208,0,0,0,0,0.00068,0.00078,0.00056
"Otu00368",0,0.001,0,0.00212,0,0,0,0,0,0,0.00088,0.00068,0.00092,0,0,0,0,0.00014,0.00036,0,0,0,0,0,0,0,0,0,0.00018,0.00408,0.0032,0.00324,0,0,0,0.00048,0.00328,0.00366,0.00146
"Otu00370",0,0,0,9e-04,0,0.00206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126,0,0.00052,0.00154,0.001,0.00088,0,0,0,0.0015,0.00198,0.00244,0,0,0,0,0,0,0
"Otu00371",0,0,0,0,0,0,2e-04,0.00154,0.00136,0.00136,0.00152,0.00068,3e-04,0,0.00154,0.00394,0.00326,0.00146,0.00076,0.00088,8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00372",0,0,0,0.00462,0,0,0,0,0,0,0.00036,0.00022,0.00028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00052,5e-04,0.00066,0,0,0,0.00044,0.00384,0.00324,0.00304
"Otu00373",0,0,0,0.00176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8e-05,0.00204,0.00266,0.00282,0,0,0,0.00022,0.00052,0.00064,0.00044
"Otu00374",0,0.00148,0,0.00056,0,0,0,0,0,0,3e-04,0,0.00048,2e-04,0,0.00028,0.00108,0.00174,0.00214,0.00232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00134,0.00302,0.00314,0.00402
"Otu00375",8e-05,0.00688,0,0.00302,0,0,0,0,0,0,0.00302,0.00192,0.0025,3e-04,0,2e-05,8e-05,0.00046,0.00026,0.00018,0,0,0,0,0,0,0,0,0,0.00258,0.00232,0.00218,0,0,0,0.00026,0.00168,0.00176,0.00102
"Otu00376",0,0,0,0.00274,0,0,0,0,0,0,0.00086,0.00076,0.00136,0,0,0,0,1e-04,0,6e-05,0,0,0,0,0,0,0,0,4e-05,0.00288,0.0025,0.0032,0,0,0,8e-05,0.00032,0.00044,8e-04
"Otu00378",0,0,0,0,0,0,0.00016,0.00026,0.00088,0.00164,0.00014,0.00028,0,0,0.00092,0.00156,0.00092,0.00046,0.00044,0.00044,0,0,0,0,0,0,0,5e-04,0,0,0,0,0,0,0.00204,0.00908,0.00054,0.00068,0.00028
"Otu00379",0,0.00086,0,0.00208,0,0,0,0,0,0,0.00046,4e-04,5e-04,0,0,0,0,0,0.00012,0.00012,0,0,0,0,0,0,0,0,6e-05,0.00274,0.00298,0.00358,0,0.00012,0,6e-04,0.00168,0.00128,0.0035
"Otu00380",0,0.00062,0,0.00044,0,0,0,0,0,0,0.00074,0.00066,0.00046,0,0,2e-04,0.00062,0.00194,0.00214,0.0024,0,0,0,0,0,0,0,0,0,4e-05,0,1e-04,0,0,0,6e-04,0.00308,0.0036,0.0039
"Otu00382",0,0.00154,0,0.00054,0,0,0,0,0,0,0.0015,0.00146,0.00212,0,6e-05,3e-04,0.00036,0.00208,0.00198,0.00248,0,0,0,0,0,0,0,0,0,4e-05,0.00076,0.00048,0,0,0,3e-04,0.00164,0.0015,0.00124
"Otu00383",0,0,0,6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,0.00364,0.00386,0.00518,0,0,0,0,0,0,0,0,0,0,2e-05,5e-04,0.00112,0,0,0,0.00072,0.00076,0.00152
"Otu00384",0,0,0,0.00324,0,0,0,0,0,0,0.00122,7e-04,0.00162,0,0,3e-04,0.00084,0.0035,0.00352,0.00424,0,0,0,0,0,0,0,0,0,0.00028,0.00046,0.00086,0,0,0,0,0.00038,0,8e-04
"Otu00385",0,0,8e-05,0,0,0,0.00118,0.00696,0.00204,0.00334,0.00064,0.00082,0.00014,0,0,4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8e-04,0.00098,2e-04,0.00028,0.00026
"Otu00386",0,0.001,0,0,0,0,0,0,0,0,0.00034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.00568,0.00586,0.0049
"Otu00387",0,0,0,0,0,0,0.00028,0.00336,0.00042,0.00266,4e-05,0,0,0.00036,0.00182,0.00796,0.00136,0.00014,6e-05,0.00024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00389",0,0.0072,0,0.00062,0,0,0,0,0,0,0.00146,0.00174,0.00314,0,0,0,7e-04,0.00164,0.00136,0.0015,0,0,0,0,0,0,0,0,0,0.00026,0.00036,0.00078,0,2e-04,0,3e-04,0.00122,0.00116,0.00174
"Otu00390",0,0,0,0.0043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00218,0.00284,0.00398,0,0,0,0,0,0,0
"Otu00391",0,0,0,0,0,0,0,0,0.00058,0.00112,0.00162,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00022,0.0049,0.00278,0.00086,0.00056,0,0,0,0.00142,0.00204,0.00052,0.00098,0.00012
"Otu00392",0,0.00406,0,0.00326,0,0,0,0,0,0,0.00054,6e-04,0.00132,0,0,0,0,0,6e-05,0,0,0,0,0,0,0,0,0,0,0.0032,0.00358,0.00378,0,0,0,1e-04,0.00064,0.00026,0.00044
"Otu00394",0,0,0,6e-04,0,0.00234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00036,0.00068,0.0015,0.0018,0,0,0,0.00276,0.00238,0.0022,0,0,0,0.00042,0.00118,0.00054,0.00062
"Otu00395",0,0.0077,0,0.00074,0,8e-05,0,0,0,0,0.00224,0.00304,0.01102,0,0,0,6e-05,0.00054,0.00054,0.00082,0,0,6e-05,0.00014,0.00042,0.00016,0,0,0,0,0,0,0,0,0,0,0.00044,0.00034,9e-04
"Otu00396",0,0,0,0,0,0,0,0,0,0,0,0,0,5e-04,0.00048,6e-05,8e-05,0,0.00014,0.00014,0,0,0,0,0,0,0,0,0,0,0,0,0.0612,0.00024,4e-05,0,2e-05,0,0
"Otu00398",0,0,0,0,0,0,0.00018,0.00038,0.00064,0.00102,0.00012,0.00014,0,0.00142,0.0044,0.0044,0.00218,0.00072,0.0011,0.00076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00068,0,0,0
"Otu00399",0,0.00206,0,0.00024,0,0,0,0,0,0,0.00106,0.00092,0.00106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00032,0.00042,0.00038,0,0,0,0.00066,0.0032,0.00354,0.00286
"Otu00402",0,0.00146,0,0,0,0,0,0,0,0,0.00042,0.00032,0.00026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152,0.00542,0.0044,0.00568
"Otu00404",0,0.00732,0,0.0018,0,0,0,0,0,0,0.00144,0.00104,0.00172,0,0,0.00032,7e-04,0.0011,0.0016,0.00114,0,0,0,0,0,0,0,0,0,0.00086,0.00058,0.00122,0,0,0,0,0.00098,0.00088,0.00094
"Otu00405",0,0,0,0.00086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00162,0.0013,4e-04,5e-04,0,0,0.00794,0.00332,0.0017,0.00308,0.00126,0.00056
"Otu00406",0,0.00118,0,0.0019,0,0.0014,0,0,0,0,8e-05,0.00012,0,0.00014,0,0,1e-04,0.00038,0.00038,0.00022,0.00102,0,0.00036,0.00182,0.00076,0.00128,0,0,0,0,0,0,0,0,0,7e-04,0.00426,0.00364,0.00212
"Otu00407",0,0.00076,0,0.00172,0,6e-05,0,0,0,0,0.00092,0.00082,0.00148,0,0,0.00028,0.00064,0.0022,0.0022,0.00298,0,0,0,0,0,0,0,0,0,0.00244,0.00258,0.00308,0,0,0,0.00026,0.00152,0.00124,0.00246
"Otu00409",0,0,0,0,0,0,4e-05,0.00016,0.00128,0.00218,0.00226,0.00188,0.00068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00514,0.0026,0.00066,0.00032,0,0,0,0,0,0,0,0
"Otu00410",0,0,0,0.00026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00038,0.00178,0.00198,0.00266,0,0,0,0,0.00062,0.00058,0.00034
"Otu00411",0,0.00114,0.00014,0.00122,0,0,0,0,0,0,0.00126,0.00122,9e-04,0,0,0.00018,0.00016,6e-04,0.00072,0.00056,0,0,0,0,0,0,0,0,0,0.00196,0.0027,0.00142,0,0,0,0,0,0,0
"Otu00412",0,0,0,0.00024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-05,0.00748,0.00456,0.00236,0.00168,0.00034,0,0.00186,3e-04,0,4e-05,0.00012,1e-04
"Otu00414",0,0,0,0,0,0,0,0,0,0,6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00302,0.00422,0.00582,0,0,0,0.00032,0.00346,0.00246,0.00036
"Otu00415",0,0.0022,0,0.00072,0,0,0,0,0,0,0.00064,0.00066,0.00142,0.00012,0,3e-04,0.00086,0.00274,0.00288,0.00254,6e-04,0,0,0,0,0,0,0,0,0.00134,0.00222,0.0019,0,0,0,0,0,0.00018,0.00028
"Otu00416",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-04,0.0042,0.00348,0.00764
"Otu00417",0,0,0,0.00104,0,0,0,0,0.00024,0.00042,0.00032,0.00034,0,0,0.00052,0.00072,0.00056,0.00052,0.00038,6e-04,0,0,0,0,0,0,0,0.00848,0.00426,0.00144,7e-04,0.00032,0,0,0.00064,0.00026,0,0,0
"Otu00419",0,0.0046,0,0.00124,0,1e-04,0,0,0,0,0.00202,0.00128,0.00156,0,0,0,0.00046,0.00054,0.00064,0.00044,0,0,0,0.00028,2e-05,0,0,0,0,0,0,0,0,0,0,0,0.0014,0.00128,0.00086
"Otu00421",0,0.00214,0,0.00156,0,0,0,0,0,0,8e-04,0.001,0.00166,0,0,0.00012,0.00018,0.00044,0.00054,0.00058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8e-04,0.00404,0.00394,0.0026
"Otu00422",0,0,0,0.00224,0,0.0015,0,0,0,0,0.00066,0.00102,0,0,0,0,0.00064,0.00214,0.002,0.0016,0,0,0.00284,0.00264,0.0015,0.00156,0,0,0,0,0,0,0,0,0,0,0,0,8e-04
"Otu00423",0,0,0,0,0,0.00062,0,0,0,0,0,0,0,0.00068,0,0,0,0,0,0,0.00112,0,0.00066,0.00408,0.0033,0.00634,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00424",0,0.0016,0,0,0,0,0,0,0,0,0.00244,0.0021,0.00434,0,0,0.00024,5e-04,0.00184,0.00158,0.00242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012,0.00054,0.00026,0.00058
"Otu00426",0,0,0,0,0,0,0.00122,0.00728,0.005,0.00206,4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00038,6e-05,0,0,0
"Otu00428",0,0,0,0.00058,0,0.0015,0,0,0,0,2e-04,0,0,0,0,0,4e-05,0,0,0,0.00044,0,0.00044,0.00148,3e-04,0.00044,0,0,0,0.00162,0.00136,0.00154,0,0,0,0.00024,0.00262,0.0029,0.00164
"Otu00430",0,0.0018,0,0.00122,0,0,6e-05,0,0,0,0.00132,0.00138,0.0022,0,0,0,0.00056,0.00188,0.002,0.00304,0,0,0,0,0,0,0,0,0,0.00018,0.00044,0.00064,0,0,0,0.00046,0.00116,0.00092,0.0015
"Otu00433",0,0,0,0,0,0,0.001,0.00474,0.00146,0.00268,0.00018,0,0,0.00086,0.00094,0.0018,0.001,0,0,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00084,0.00036,0,0,0
"Otu00434",0,0,0,3e-04,0,0,2e-04,0.00066,0.00132,0.002,0,0,0,0,0.00118,0.00184,0.00158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00022,0.00652,0,0.00044,0
"Otu00435",0,0.00082,0,0.00062,0,0,0,0,0,0,0.00022,0.00022,4e-04,0,0,2e-04,0.00084,0.00192,0.00252,0.00222,0,0,0,0,0,0,0,0,0,0.00078,3e-04,6e-04,0,0,0,0.00086,0.00314,0.0027,0.00186
"Otu00436",0,1e-04,0,0.00284,0,0,0,0,0,0,0.00082,0.00048,0.00082,0,0,0,1e-04,0.00034,0.00032,0.00062,8e-05,0,0,2e-05,0.00014,0.00016,0,0,8e-05,0.00314,0.00212,0.00248,0,0,0,0.00012,0.00062,0.00034,0.00022
"Otu00437",0,0,0,0,0,0.01216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00044,0.00342,0.00036,0.00042,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00438",0,2e-04,0,0.00092,0,0,0,0,0,0,0.00016,6e-05,0.00014,0,0,8e-05,0.00026,0.00024,5e-04,0.00052,0.00026,0,0.00058,0.00108,0.00048,0.001,0,0,0.00014,0.00518,0.00224,0.00286,0,0,0,0,0,0.00014,0
"Otu00439",0,0,1e-04,0,0,0,0,0,0,0.00032,0,0,0,0,0.00172,0.00544,0.00206,0.0011,0.00064,0.00028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00314,0.00234,0,0,0
"Otu00441",0.00468,0,0,0,0.01186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014,0,0,0,0,0,0,0
"Otu00443",0,0,0,0.00038,0,0,0,0,0,0,0.0022,0.00122,0.00316,0,0,0,0.00022,0.00056,0.00038,0.00028,0,0,0,0,0,0,0,0,0,0.00188,0.00236,0.0019,0,0,0,0,0,0,0
"Otu00444",0,0.00466,0,0.00134,0,0,0,0,0,0,0.00184,0.00112,0.00146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00058,0.00032,0.00028,0,0,0,4e-04,0.00298,0.00336,0.00154
"Otu00445",0,0,0,0,0,4e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00222,0,0.00012,0.00274,0.00438,0.01098,1e-04,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00446",0,0.0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00128,0.00498,0.00514,0.00324
"Otu00447",0,0,0,0,0,0,0,0,0,0,0.00048,5e-04,0.00092,0,0,0,0.00054,0.00084,0.00086,0.00058,0,0,0,0,0,0,0,0,0,0.00146,0.0017,0.00164,0,0,0,4e-04,0.00156,0.00142,0.00152
"Otu00448",0,0.00134,0,0.00018,0,0,0,0,0,0,0.00036,0.00054,0,0,0,0,0.00022,0.00062,0.00026,0,0,0,0,0,0,0,0,0,6e-05,0.00192,0.00214,0.00232,0,0,0,0.00054,0.00146,0.00098,0.00084
"Otu00449",0,0,0,0,0,0,0,0,0.00026,0.00076,8e-05,0.00032,0,0,0,0,0,0,0,0,0,4e-04,0,0,0,0,0,0.01008,0.00448,0,0.00048,0.00032,0,0,0.00054,0.00042,1e-04,0,0
"Otu00451",0,0.00012,0,0.00022,0,0,0.00138,0.00592,0.0015,0.00288,3e-04,0.00022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014,0.00168,0.00034,0.00016,6e-05
"Otu00452",0,0,8e-05,0.0032,0,0.00048,0,0,0,0,0.00084,0.00076,0.00084,0.00024,0,4e-04,0.00096,0.0032,0.0031,0.00348,0,0,5e-04,0.00078,0.00022,0.00028,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00454",0,0,0,0.00076,0,0.00092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014,0,0.00048,0.00064,0.00028,0.00024,0,0,0,0.0022,0.00218,0.00178,0,0,0,0.00044,0.0013,0.00136,0.00112
"Otu00455",0,0.00156,0,0.00362,0,0,0,0,0,0,0.00032,0.00034,0,0,0,0,0.00018,4e-04,0.00044,0.00054,0,0,0,0,0,0,0,0,0,0.00116,0.00132,0.00176,0,0,0,0.00046,0.00148,0.00152,0.00228
"Otu00456",0,0.00186,0,0.0041,0,0,0,0,0,0,0.00012,0,0.00036,0.00028,0,2e-04,0.00034,0.00096,0.00052,0.00086,0,0,0,0,0,0,0,0,0,5e-04,0.00088,9e-04,0,0,0,0.00018,0.00044,0.00066,0.00078
"Otu00458",0,0.00324,0,0.00114,0,1e-04,0,0,0,0,0.00214,0.00178,0.00256,0,0,0,0,0,0,0,0,0,0,0.00078,0.0012,0.00202,0,0,0,0.00052,6e-04,0.00074,0,0,0,0,0.00058,0.00098,0.00044
"Otu00461",0,0.00202,0,0.00134,0,0,0,0,0,0,0.00042,2e-04,0.00012,0,0,0,0.00016,0.00062,0.00042,0.00076,0,0,0,0,0,0,0,0,0,0.00012,0.00034,0.00052,0,4e-05,1e-04,0.00058,0.00366,0.00332,0.0024
"Otu00463",0,0,0,0.00056,0,0,0,0,0,0,0.0012,7e-04,0.00124,0,0,0,0,0.00034,0.00054,0,0,0,0,0,0,0,0,0,0,0.00394,0.00318,0.00356,0,0,0,0,0.00048,0.00064,0.00038
"Otu00464",0,0,0,0,0,0.00254,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00242,0.00026,0.00136,0.00238,0.00274,0.0027,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00465",0,0,0,0,0,0,0,0,0.00064,0.00124,0.00158,0.00204,0.00024,0,0.00058,0.00082,6e-04,0.00022,0.00014,8e-05,0,0,0,0,0,0,0,8e-04,0.00184,0,6e-05,0,0,0,0.00196,0.00448,2e-05,2e-05,6e-05
