SampleCode,Sample_Type_Broad,RobCode,Fish_Number,Species,Gut_Section,Gut_SubSection,Culture_Media
R2_13,Culture,G III_Gracilaria_Day 2,F7,Kyphosus hawaiiensis,GI,GI_2,Gracilaria
R2_14,Culture,G III_Ulva_Day 2,F7,Kyphosus hawaiiensis,GI,GI_2,Ulva
R2_16_A,Culture,G IV_Gracilaria_Day 2,F7,Kyphosus hawaiiensis,GI,GI_3,Gracilaria
R2_17,Culture,G IV_Ulva_Day 2,F7,Kyphosus hawaiiensis,GI,GI_3,Ulva
R2_18,Culture,G IV_Sargassum_Day 2,F7,Kyphosus hawaiiensis,GI,GI_3,Sargassum
R2_19,Culture,G V_Gracilaria_Day 2,F7,Kyphosus hawaiiensis,GI,GI_4,Gracilaria
R2_2,Culture,Control_Sargassum_,NoFish,,No_Inoc,No_Inoc,Mix_Seaweed
R2_20,Culture,G V_Ulva_Day 2,F7,Kyphosus hawaiiensis,GI,GI_4,Ulva
R2_21,Culture,G V_Sargassum_Day 2,F7,Kyphosus hawaiiensis,GI,GI_4,Sargassum
R2_22,Culture,G VI_Gracilaria_Day 2,F7,Kyphosus hawaiiensis,HG,HG_1,Gracilaria
R2_23,Culture,G VI_Ulva_Day 2,F7,Kyphosus hawaiiensis,HG,HG_1,Ulva
R2_24,Culture,G VI_Sargassum_Day 2,F7,Kyphosus hawaiiensis,HG,HG_1,Sargassum
R2_25,Culture,G VII_Gracilaria_Day 2,F7,Kyphosus hawaiiensis,HG,HG_2,Gracilaria
R2_26,Culture,G VII_Ulva_Day 2,F7,Kyphosus hawaiiensis,HG,HG_2,Ulva
R2_27,Culture,G VII_Sargassum_Day 2,F7,Kyphosus hawaiiensis,HG,HG_2,Sargassum
R2_28,Culture,G VIII_Gracilaria_Day 2,F7,Kyphosus hawaiiensis,HG,HG_3,Gracilaria
R2_29,Culture,G VIII_Ulva_Day 2,F7,Kyphosus hawaiiensis,HG,HG_3,Ulva
R2_3,Culture,G I_Ulva_Day 1,F1,Kyphosus cinerascens,ST,ST,Ulva
R2_30,Culture,G VIII_Sargassum_Day 2,F7,Kyphosus hawaiiensis,HG,HG_3,Sargassum
R2_31,Culture,Control_Gracilaria_N/A,NoFish,,No_Inoc,No_Inoc,Gracilaria
R2_32,Culture,Control_Ulva_N/A,NoFish,,No_Inoc,No_Inoc,Ulva
R2_33,Culture,Control_Sargassum_N/A,NoFish,,No_Inoc,No_Inoc,Sargassum
R2_4_A,Culture,Control_Ulva_,NoFish,,No_Inoc,No_Inoc,Ulva
R2_5,Culture,G I_Gracilaria_Day 1,F1,Kyphosus cinerascens,ST,ST,Gracilaria
R2_6,Culture,Control_Gracilaria_,NoFish,,No_Inoc,No_Inoc,Gracilaria
R2_7,Culture,G I_Gracilaria_Day 2,F7,Kyphosus hawaiiensis,ST,ST,Gracilaria
R2_8,Culture,G I_Ulva_Day 2,F7,Kyphosus hawaiiensis,ST,ST,Ulva
R2_9,Culture,G I_Sargassum_Day 2,F7,Kyphosus hawaiiensis,ST,ST,Sargassum
