OTU,Abundance,Gut_Subsection
Otu00497,1.20E-05,HG_2
Otu00497,1.20E-05,HG_3
Otu00512,0,GI_1
Otu00512,0,GI_2
Otu00512,0,GI_3
Otu00512,0,GI_4
Otu00512,0,HG_1
Otu00512,0,HG_2
Otu00512,0,HG_3
Otu00593,0.000415,GI_1
Otu00593,0.001085,GI_2
Otu00593,0.000552,GI_3
Otu00593,0.00036,GI_4
Otu00593,0.00064,HG_1
Otu00593,0.000788,HG_2
Otu00593,0.000524,HG_3
Otu00600,2.00E-04,GI_1
Otu00600,0,GI_2
Otu00600,0,GI_3
Otu00600,6.00E-05,GI_4
Otu00600,0.000224,HG_1
Otu00600,9.20E-05,HG_2
Otu00600,0.000492,HG_3
Otu00634,0,GI_1
Otu00634,0,GI_2
Otu00634,0,GI_3
Otu00634,0,GI_4
Otu00634,0,HG_1
Otu00634,0,HG_2
Otu00634,0,HG_3
Otu00807,0,GI_1
Otu00807,0,GI_2
Otu00807,1.20E-05,GI_3
Otu00807,0.00018,GI_4
Otu00807,0.000808,HG_1
Otu00807,0.00098,HG_2
Otu00807,0.001016,HG_3
Otu00817,0.00013,GI_1
Otu00817,0,GI_2
Otu00817,0,GI_3
Otu00817,0.000292,GI_4
Otu00817,0.000496,HG_1
Otu00817,0.000336,HG_2
Otu00817,0.00018,HG_3
Otu00851,1.50E-05,GI_1
Otu00851,0,GI_2
Otu00851,8.00E-06,GI_3
Otu00851,0,GI_4
Otu00851,8.00E-06,HG_1
Otu00851,2.40E-05,HG_2
Otu00851,0,HG_3
Otu00916,0,GI_1
Otu00916,0,GI_2
Otu00916,0,GI_3
Otu00916,0,GI_4
Otu00916,0,HG_1
Otu00916,0,HG_2
Otu00916,0,HG_3
Otu01063,0,GI_1
Otu01063,0,GI_2
Otu01063,0,GI_3
Otu01063,0,GI_4
Otu01063,0,HG_1
Otu01063,0,HG_2
Otu01063,0,HG_3
Otu01081,0,GI_1
Otu01081,0,GI_2
Otu01081,4.00E-06,GI_3
Otu01081,7.20E-05,GI_4
Otu01081,0.000236,HG_1
Otu01081,0.000272,HG_2
Otu01081,4.00E-04,HG_3
Otu01185,0,GI_1
Otu01185,0,GI_2
Otu01185,0,GI_3
Otu01185,0,GI_4
Otu01185,0,HG_1
Otu01185,0,HG_2
Otu01185,0,HG_3
Otu01270,0,GI_1
Otu01270,0,GI_2
Otu01270,0,GI_3
Otu01270,0,GI_4
Otu01270,0,HG_1
Otu01270,0,HG_2
Otu01270,0,HG_3
Otu01463,0,GI_1
Otu01463,0,GI_2
Otu01463,0,GI_3
Otu01463,0,GI_4
Otu01463,1.20E-05,HG_1
Otu01463,0,HG_2
Otu01463,0,HG_3
Otu01497,0,GI_1
Otu01497,0,GI_2
Otu01497,0,GI_3
Otu01497,0,GI_4
Otu01497,0,HG_1
Otu01497,0,HG_2
Otu01497,0,HG_3
Otu01522,0,GI_1
Otu01522,0,GI_2
Otu01522,0,GI_3
Otu01522,0,GI_4
Otu01522,0,HG_1
Otu01522,0,HG_2
Otu01522,0,HG_3
Otu01682,0.00014,GI_1
Otu01682,0,GI_2
Otu01682,0,GI_3
Otu01682,0,GI_4
Otu01682,0.000192,HG_1
Otu01682,6.80E-05,HG_2
Otu01682,0.00022,HG_3
Otu01684,0,GI_1
Otu01684,0,GI_2
Otu01684,0,GI_3
Otu01684,0,GI_4
Otu01684,0,HG_1
Otu01684,0,HG_2
Otu01684,0,HG_3
